Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
893784,0.84,0.93,-4.5,-7.9,192,0.00,0.00,-0.0,0.00,66.7,1.000,26.4,6.1,73,1.29,111.93,350.00,5197,37.3,3.66,3.66,100.0,100.0,35.0,57.3
893887,0.87,0.80,0.1,12.5,192,0.00,0.00,-0.0,0.00,100.0,1.000,36.7,9.5,73,1.66,128.14,350.00,4636,37.9,3.66,3.66,100.0,100.0,25.0,57.6
893990,0.86,0.75,4.6,12.5,192,-2.81,0.00,-0.0,0.00,100.0,1.000,41.6,12.5,73,2.14,142.67,350.00,3997,38.5,3.66,3.66,100.0,100.0,17.5,50.6
894091,0.81,0.75,8.8,12.8,192,-2.81,0.00,-0.0,0.00,100.0,1.000,47.8,14.8,73,2.17,140.31,350.00,3877,38.5,3.66,3.66,100.0,100.0,-1.5,50.6
894192,0.76,0.76,11.4,13.3,192,-2.81,0.00,-0.0,0.00,100.0,1.000,52.7,15.6,73,2.38,160.92,350.00,4055,38.5,3.66,3.66,100.0,100.0,-4.0,47.1
894296,0.76,0.76,13.6,12.9,192,-2.81,0.00,-0.0,0.00,100.0,1.000,54.4,16.1,73,2.51,169.24,350.00,4052,39.1,3.66,3.66,100.0,100.0,5.0,42.4
894397,0.76,0.78,14.5,12.9,192,-4.22,0.00,-0.0,0.00,100.0,1.000,55.4,16.4,73,2.52,170.24,350.00,4052,39.8,3.66,3.66,100.0,100.0,4.5,40.8
894500,0.76,0.79,14.6,12.9,192,-4.22,0.00,-0.0,0.00,100.0,1.000,52.5,15.1,73,2.41,167.26,350.00,4169,40.4,3.66,3.66,100.0,100.0,5.5,40.4
894602,0.76,0.80,13.7,12.9,192,-4.22,0.00,-0.0,0.00,100.0,1.000,54.3,15.6,73,2.36,164.72,350.00,4179,41.0,3.66,3.66,100.0,100.0,8.0,41.6
894705,0.76,0.80,12.9,12.7,192,-4.22,0.00,-0.0,0.00,100.0,1.000,52.4,14.8,73,2.26,160.28,350.00,4248,41.0,3.64,3.66,100.0,100.0,8.5,42.7
