Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
821970,1.03,1.09,-3.1,-4.5,201,0.00,0.00,14.0,0.00,66.7,1.000,6.8,5.6,80,1.09,26.30,161.63,1453,14.3,0.80,0.78,100.0,21.6,15.0,90.2
822074,0.99,1.03,-1.7,-1.7,201,0.00,0.00,13.4,0.00,66.7,1.000,8.3,6.7,80,1.25,30.86,196.36,1481,14.3,1.06,1.22,100.0,30.6,13.0,90.2
822175,0.95,0.99,-0.3,1.5,201,0.00,0.00,10.1,0.00,66.7,1.000,9.3,7.4,80,1.32,32.96,231.49,1500,14.9,2.96,3.32,100.0,92.9,10.0,90.2
822277,0.91,0.95,0.5,4.2,201,0.00,0.00,6.2,0.00,66.7,1.000,9.9,7.7,80,1.26,32.36,263.97,1536,14.9,3.50,3.64,100.0,100.0,9.0,90.2
822380,0.86,0.89,0.7,5.4,201,0.00,0.00,-0.0,0.00,66.7,1.000,10.5,7.9,80,1.27,33.56,300.13,1589,15.5,3.64,3.66,100.0,100.0,8.5,90.2
822488,0.81,0.88,0.9,5.9,201,0.00,0.00,-0.0,0.00,66.7,1.000,10.9,8.2,80,1.34,35.60,334.97,1597,15.5,3.64,3.66,100.0,100.0,7.5,90.2
822584,0.84,0.88,1.2,6.6,201,0.00,0.00,-0.0,0.00,66.7,1.000,11.6,8.4,80,1.31,36.41,335.00,1663,16.2,3.66,3.66,100.0,100.0,7.0,90.2
822685,0.84,0.88,1.4,6.7,201,0.00,0.00,-0.0,0.00,66.7,1.000,12.3,8.7,80,1.37,38.78,336.84,1702,16.2,3.66,3.66,100.0,100.0,6.0,90.2
822787,0.84,0.88,1.7,7.0,201,0.00,0.00,-0.0,0.00,66.7,1.000,12.7,8.7,80,1.40,40.72,338.70,1746,16.8,3.66,3.66,100.0,100.0,5.5,90.2
822889,0.84,0.88,2.0,7.1,201,0.00,0.00,-0.0,0.00,66.7,1.000,13.6,9.0,80,1.39,41.95,341.16,1807,17.4,3.66,3.66,100.0,100.0,5.0,90.2
822991,0.82,0.88,2.3,7.3,201,0.00,0.00,-0.0,0.00,100.0,1.000,13.8,9.0,80,1.43,43.96,343.47,1839,18.0,3.66,3.66,100.0,100.0,4.5,90.2
823094,0.82,0.88,2.7,7.6,201,0.00,0.00,-0.0,0.00,100.0,1.000,14.2,9.0,80,1.43,44.97,345.09,1889,18.0,3.64,3.66,100.0,100.0,3.5,90.2
823195,0.81,0.88,3.0,7.9,201,0.00,0.00,-0.0,0.00,100.0,1.000,14.8,9.2,80,1.46,47.19,346.66,1933,18.6,3.64,3.66,100.0,100.0,3.5,90.2
823297,0.80,0.88,3.4,8.1,201,0.00,0.00,-0.0,0.00,100.0,1.000,15.1,9.2,80,1.48,48.64,347.94,1969,19.3,3.66,3.66,100.0,100.0,4.0,90.2
823400,0.81,0.88,3.7,8.3,201,0.00,0.00,-0.0,0.00,100.0,1.000,16.1,9.5,80,1.49,50.73,349.28,2038,19.9,3.66,3.66,100.0,100.0,3.5,88.2
823502,0.81,0.88,4.1,8.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,16.4,9.5,80,1.52,52.53,350.00,2068,19.9,3.66,3.66,100.0,100.0,4.5,86.3
823606,0.81,0.88,4.5,9.2,201,0.00,0.00,-0.0,0.00,100.0,1.000,16.9,9.5,80,1.52,54.06,350.00,2136,20.5,3.66,3.66,100.0,100.0,5.0,82.4
823705,0.80,0.88,4.9,10.0,201,0.00,0.00,-0.0,0.00,100.0,1.000,17.7,9.7,78,1.58,57.62,350.00,2189,21.1,3.66,3.66,100.0,100.0,5.5,77.3
823806,0.81,0.88,5.3,10.7,201,0.00,0.00,-0.0,0.00,100.0,1.000,18.1,9.7,78,1.62,60.38,350.00,2243,21.7,3.66,3.66,100.0,100.0,5.5,73.3
823912,0.81,0.88,5.8,11.4,201,0.00,0.00,-0.0,0.00,100.0,1.000,19.5,10.2,78,1.70,65.15,350.00,2294,22.4,3.66,3.66,100.0,100.0,6.5,68.6
824011,0.81,0.87,6.3,12.2,201,0.00,0.00,-0.0,0.00,100.0,1.000,21.1,10.8,78,1.73,67.77,350.00,2344,23.0,3.66,3.66,100.0,100.0,5.0,67.1
824113,0.80,0.85,6.8,12.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,22.8,11.3,78,1.82,73.54,350.00,2424,23.6,3.66,3.66,100.0,100.0,5.5,60.0
824214,0.77,0.84,7.5,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,24.9,12.0,78,1.86,77.21,350.00,2492,24.2,3.66,3.66,100.0,100.0,5.5,59.2
824316,0.76,0.83,8.2,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,28.0,13.1,78,1.97,84.36,350.00,2564,24.9,3.66,3.66,100.0,100.0,5.0,58.4
824419,0.76,0.81,9.0,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,30.1,13.8,78,2.02,88.03,350.00,2615,24.9,3.66,3.66,100.0,100.0,5.5,57.3
824521,0.76,0.80,2.5,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,32.1,14.3,78,2.11,94.59,350.00,2695,26.1,3.66,3.66,100.0,100.0,4.5,56.9
824624,0.76,0.79,10.9,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,34.5,14.8,78,2.18,101.80,350.00,2796,26.7,3.66,3.66,100.0,100.0,4.5,54.5
824725,0.76,0.81,12.1,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,37.8,16.1,78,2.38,111.56,350.00,2818,27.3,3.64,3.64,100.0,100.0,3.5,51.4
824832,0.76,0.80,13.1,13.5,201,0.00,0.00,-0.0,0.00,100.0,1.000,40.6,16.6,78,2.36,115.31,350.00,2935,28.0,3.64,3.66,100.0,100.0,2.5,50.2
