Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
201851,0.90,0.88,-3.5,-5.6,188,0.00,0.00,-11.3,-4.00,66.7,1.000,5.6,4.6,96,0.82,20.11,128.33,1465,14.3,0.80,0.78,100.0,17.6,20.5,90.2
201951,0.91,0.90,-2.7,-4.5,188,0.00,0.00,-10.2,-4.00,66.7,1.000,6.3,5.1,96,0.99,24.41,160.45,1475,14.3,0.80,0.78,100.0,21.6,17.0,90.2
202055,0.93,0.88,-1.7,-1.5,188,0.00,0.00,-10.6,-4.00,66.7,1.000,7.0,5.6,96,1.14,28.63,195.40,1505,14.3,0.80,0.76,100.0,29.4,14.0,90.2
202156,0.94,0.87,-0.2,0.1,188,0.00,0.00,-9.7,-4.00,66.7,1.000,8.2,6.4,96,1.22,31.26,230.80,1540,14.3,2.08,2.38,100.0,89.0,12.5,90.2
202259,0.95,0.88,0.5,5.1,188,0.00,0.00,-7.6,-4.00,66.7,1.000,9.2,7.2,96,1.19,30.36,266.46,1534,14.9,3.32,3.50,100.0,100.0,10.5,90.2
202360,0.93,0.88,0.7,5.7,188,0.00,0.00,-0.0,-4.00,66.7,1.000,9.6,7.2,96,1.13,30.25,299.92,1604,15.5,3.58,3.66,100.0,100.0,10.0,90.2
202463,0.89,0.88,0.9,6.0,188,0.00,0.00,-0.0,-4.00,66.7,1.000,9.9,7.4,96,1.24,33.44,334.70,1613,15.5,3.64,3.66,100.0,100.0,9.5,90.2
202565,0.88,0.88,1.0,6.7,188,0.00,0.00,-0.0,-4.00,66.7,1.000,10.1,7.4,96,1.24,33.80,335.24,1641,16.2,3.66,3.66,100.0,100.0,8.5,90.2
202667,0.90,0.88,1.3,6.7,188,0.00,0.00,-0.0,-4.00,66.7,1.000,10.8,7.7,96,1.26,35.26,336.65,1680,16.2,3.66,3.66,100.0,100.0,8.0,90.2
202768,0.89,0.88,1.5,7.0,188,0.00,0.00,-0.0,-4.00,66.7,1.000,11.3,7.9,96,1.29,36.78,338.32,1716,16.8,3.66,3.66,100.0,100.0,7.0,90.2
202870,0.90,0.88,1.6,7.1,188,0.00,0.00,-0.0,-4.00,66.7,1.000,11.5,7.9,96,1.32,38.29,339.94,1740,16.8,3.66,3.66,100.0,100.0,7.0,90.2
202973,0.88,0.88,1.9,7.2,188,0.00,0.00,-0.0,-4.00,66.7,1.000,11.7,7.9,96,1.31,38.68,341.52,1777,17.4,3.66,3.66,100.0,100.0,6.5,90.2
203076,0.89,0.88,2.1,7.3,188,0.00,0.00,-0.0,-3.96,66.7,1.000,12.5,8.2,96,1.34,40.84,343.36,1829,17.4,3.66,3.66,100.0,100.0,5.5,90.2
203176,0.87,0.88,2.4,7.5,188,0.00,0.00,-0.0,-3.86,66.7,1.000,12.9,8.2,96,1.34,42.07,345.03,1881,18.0,3.66,3.66,100.0,100.0,6.5,90.2
203279,0.87,0.89,2.6,7.9,188,0.00,0.00,-0.0,-3.76,100.0,1.000,13.1,8.2,96,1.39,44.33,346.28,1915,18.6,3.66,3.66,100.0,100.0,6.0,90.2
203380,0.88,0.89,2.9,8.0,188,0.00,0.00,-0.0,-3.52,100.0,1.000,13.7,8.4,96,1.36,44.22,347.28,1958,18.6,3.66,3.66,100.0,100.0,6.0,90.2
203481,0.86,0.89,3.2,8.2,188,0.00,0.00,-0.0,-3.42,100.0,1.000,13.7,8.4,96,1.44,46.93,348.20,1962,19.3,3.66,3.66,100.0,100.0,6.0,90.2
203584,0.87,0.89,3.5,8.3,188,0.00,0.00,-0.0,-3.22,100.0,1.000,14.2,8.4,96,1.44,48.91,349.13,2034,19.3,3.66,3.66,100.0,100.0,6.0,90.2
