Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
255005,1.38,0.78,-9.0,0.6,179,0.00,0.00,-0.0,0.00,66.7,1.000,13.3,7.2,75,1.20,44.55,280.96,2219,43.5,3.02,3.06,100.0,41.2,23.0,50.6
255106,1.38,0.80,-0.5,8.1,179,0.00,0.00,-0.0,0.00,66.7,1.000,13.9,7.4,75,1.27,47.59,345.33,2257,44.1,3.42,3.54,100.0,100.0,19.5,70.2
255210,1.23,0.84,0.4,10.9,179,0.00,0.00,-0.0,0.00,66.7,1.000,14.6,7.7,75,1.23,46.53,350.00,2274,44.1,3.64,3.66,100.0,100.0,18.5,70.2
255311,1.09,0.87,0.9,11.8,179,0.00,0.00,-0.0,0.00,66.7,1.000,14.5,7.7,75,1.29,48.51,350.00,2264,44.1,3.66,3.66,100.0,100.0,17.0,69.8
255411,0.98,0.87,1.4,11.9,179,0.00,0.00,-0.0,0.00,100.0,1.000,15.1,7.9,75,1.30,49.82,350.00,2294,44.7,3.66,3.68,100.0,100.0,17.0,67.8
255515,0.91,0.87,2.0,12.1,179,0.00,0.00,-0.0,0.00,100.0,1.000,16.1,8.4,75,1.34,51.51,350.00,2303,44.7,3.66,3.68,100.0,100.0,16.0,67.5
255615,0.87,0.85,2.5,12.2,179,0.00,0.00,-0.0,0.00,100.0,1.000,16.0,8.4,75,1.40,53.30,350.00,2280,44.7,3.66,3.68,100.0,100.0,15.0,67.1
255717,0.86,0.87,3.1,12.1,179,0.00,0.00,-0.0,0.00,100.0,1.000,16.7,8.7,75,1.44,55.47,350.00,2306,45.4,3.66,3.68,100.0,100.0,15.5,66.7
255820,0.87,0.87,3.6,12.3,179,0.00,0.00,-0.0,0.00,100.0,1.000,17.3,9.0,75,1.47,56.71,350.00,2309,45.4,3.66,3.68,100.0,100.0,15.0,66.3
255921,0.86,0.87,4.1,12.6,179,0.00,0.00,-0.0,0.00,100.0,1.000,17.9,9.2,75,1.52,59.17,350.00,2330,45.4,3.66,3.66,100.0,100.0,14.0,63.9
256024,0.86,0.88,4.6,12.8,179,0.00,0.00,-0.0,0.00,100.0,1.000,18.9,9.7,75,1.59,62.11,350.00,2341,46.0,3.66,3.66,100.0,100.0,13.0,63.1
256133,0.86,0.85,5.2,12.9,179,0.00,0.00,-0.0,0.00,100.0,1.000,19.1,9.7,75,1.62,63.65,350.00,2359,46.0,3.66,3.66,100.0,100.0,12.5,61.6
256229,0.86,0.88,5.7,12.7,179,0.00,0.00,-0.0,0.00,100.0,1.000,19.9,10.2,75,1.69,65.96,350.00,2343,46.0,3.66,3.68,100.0,100.0,12.0,63.9
256329,0.86,0.87,6.2,12.8,179,0.00,0.00,-0.0,0.00,100.0,1.000,20.7,10.5,75,1.72,68.09,350.00,2370,46.0,3.66,3.68,100.0,100.0,11.0,62.0
256436,0.85,0.86,6.7,13.1,179,0.00,0.00,-0.0,0.00,100.0,1.000,21.7,11.0,75,1.79,70.64,350.00,2369,46.6,3.66,3.68,100.0,100.0,11.0,60.8
256535,0.84,0.84,7.2,13.3,179,0.00,0.00,-0.0,0.00,100.0,1.000,22.9,11.5,75,1.84,73.04,350.00,2388,46.6,3.66,3.68,100.0,100.0,10.0,59.2
256637,0.81,0.83,7.8,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,24.0,11.8,75,1.86,75.52,350.00,2439,47.2,3.66,3.68,100.0,100.0,10.0,58.8
256738,0.80,0.83,8.3,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,24.9,12.3,75,1.92,77.59,350.00,2428,47.2,3.66,3.68,100.0,100.0,9.5,58.8
256840,0.79,0.83,8.8,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,25.5,12.5,75,1.97,80.45,350.00,2446,47.8,3.66,3.68,100.0,100.0,9.0,58.8
256942,0.78,0.82,9.4,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,26.3,12.8,75,2.00,82.18,350.00,2469,47.8,3.66,3.68,100.0,100.0,8.0,58.8
257046,0.77,0.82,9.9,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,26.8,13.1,75,2.07,84.56,350.00,2453,47.8,3.66,3.68,100.0,100.0,8.0,58.4
257147,0.77,0.82,10.3,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,27.5,13.3,75,2.11,87.01,350.00,2480,48.5,3.66,3.68,100.0,100.0,8.0,58.0
257250,0.76,0.82,10.9,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,28.4,13.6,75,2.11,88.43,350.00,2510,48.5,3.66,3.68,100.0,100.0,8.0,58.0
257351,0.76,0.82,11.2,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,28.8,13.8,73,2.19,91.61,350.00,2505,49.1,3.66,3.68,100.0,100.0,7.5,58.0
257453,0.76,0.82,11.6,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,29.6,14.1,73,2.23,93.35,350.00,2517,49.1,3.66,3.68,100.0,100.0,7.5,56.9
257553,0.76,0.82,12.0,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,29.9,14.1,73,2.16,91.45,350.00,2546,49.7,3.66,3.66,100.0,100.0,7.5,56.9
257655,0.76,0.82,12.3,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,30.6,14.3,73,2.18,93.30,350.00,2566,49.7,3.66,3.66,100.0,100.0,7.0,56.9
257758,0.76,0.82,12.6,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,30.6,14.3,73,2.22,95.29,350.00,2570,50.3,3.64,3.66,100.0,100.0,7.5,56.9
257860,0.76,0.82,12.9,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,31.9,14.6,73,2.21,96.36,350.00,2620,50.3,3.66,3.68,100.0,100.0,7.0,55.7
257965,0.76,0.82,13.1,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,32.3,14.8,73,2.25,98.36,350.00,2620,51.0,3.66,3.68,100.0,100.0,7.0,56.5
258064,0.76,0.81,13.3,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,33.0,15.1,73,2.30,100.46,350.00,2621,51.0,3.66,3.68,100.0,100.0,7.0,56.1
258166,0.76,0.81,13.4,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,33.1,15.1,73,2.26,99.31,350.00,2634,51.6,3.66,3.68,100.0,100.0,7.0,55.7
258268,0.76,0.81,13.6,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,34.1,15.4,73,2.39,105.95,350.00,2656,51.6,3.66,3.68,100.0,100.0,7.0,55.7
258369,0.76,0.81,13.7,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,34.4,15.4,73,2.32,103.44,350.00,2679,52.2,3.66,3.68,100.0,100.0,6.5,54.9
258471,0.76,0.81,13.9,13.5,179,0.00,0.00,-0.0,0.00,100.0,1.000,34.7,15.4,73,2.34,105.29,350.00,2703,52.8,3.66,3.68,100.0,100.0,7.0,54.9
258574,0.76,0.81,13.9,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,34.7,15.4,73,2.29,103.24,350.00,2707,52.8,3.66,3.68,100.0,100.0,7.0,53.7
258675,0.76,0.81,14.0,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,35.7,15.6,73,2.34,106.94,350.00,2743,53.4,3.66,3.68,100.0,100.0,7.0,53.3
258778,0.76,0.81,14.2,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,35.8,15.6,73,2.37,108.84,350.00,2751,53.4,3.66,3.68,100.0,100.0,7.0,52.5
258881,0.76,0.81,14.2,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,35.7,15.6,73,2.35,107.63,350.00,2746,54.1,3.66,3.68,100.0,100.0,7.0,52.2
258982,0.76,0.81,14.2,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,36.8,15.9,73,2.41,111.54,350.00,2775,54.1,3.66,3.68,100.0,100.0,7.0,51.8
259084,0.76,0.82,14.2,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,37.3,15.9,73,2.34,109.85,350.00,2814,54.7,3.66,3.68,100.0,100.0,7.5,51.0
259187,0.76,0.82,14.0,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,36.7,15.6,73,2.32,108.84,350.00,2820,54.7,3.66,3.66,100.0,100.0,7.5,51.0
259288,0.76,0.82,13.7,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,36.6,15.6,73,2.36,110.57,350.00,2815,55.3,3.66,3.66,100.0,100.0,8.0,51.4
259390,0.76,0.82,13.5,13.5,177,0.00,0.00,-0.0,0.00,100.0,1.000,36.9,15.6,73,2.31,109.59,350.00,2841,55.3,3.66,3.66,100.0,100.0,8.5,51.8
