Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
76,1.00,Infinity,-0.5,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,0.0,1.3,80,0.00,1.58,0.00,0,0.0,0.82,0.78,0.0,7.1,12.0,0.0
101,1.00,0.75,-0.5,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,0.2,1.3,80,0.53,1.82,0.00,206,0.0,0.82,0.78,0.0,7.1,12.0,0.0
205,1.00,0.75,-0.6,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,1.1,5.9,80,0.62,2.36,0.00,227,0.0,0.82,0.78,0.0,7.1,12.0,0.0
305,1.00,0.52,-0.7,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.1,5.6,80,0.26,2.83,0.00,657,0.0,0.82,0.78,0.0,7.1,19.0,0.0
408,1.38,0.52,-0.7,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,4.0,4.4,80,0.22,3.98,0.00,1085,0.0,0.82,0.78,0.0,7.1,19.0,0.0
510,1.38,0.52,-5.1,-11.4,203,0.00,0.00,-0.0,-3.52,100.0,1.000,4.2,3.6,80,0.22,5.21,0.00,1392,0.0,0.82,0.78,0.0,7.1,19.0,0.0
611,1.35,0.52,-6.8,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,4.2,3.1,80,0.20,5.41,0.00,1623,0.0,0.82,0.78,0.0,7.1,19.0,0.0
712,1.21,0.52,-8.1,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,4.1,2.8,80,0.19,5.55,0.00,1752,0.0,0.82,0.78,0.0,7.1,16.5,0.0
814,1.12,0.54,-9.2,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.9,2.6,80,0.19,5.65,0.00,1822,0.0,0.82,0.78,0.0,7.1,14.5,0.0
917,1.02,0.55,-9.8,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,4.0,2.6,80,0.20,6.02,0.00,1829,0.0,0.82,0.78,0.0,7.1,12.5,0.0
1019,0.94,0.57,-10.2,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.5,2.3,80,0.20,6.05,0.00,1812,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1124,0.88,0.58,-10.5,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.4,2.3,80,0.21,6.12,0.00,1771,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1223,0.84,0.59,-10.6,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.7,2.6,80,0.22,6.15,0.00,1711,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1325,0.81,0.60,-10.6,-11.0,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.6,2.6,80,0.22,6.09,0.00,1656,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1428,0.79,0.61,-10.6,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.5,2.6,80,0.23,6.19,0.00,1626,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1527,0.78,0.62,-10.6,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.4,2.6,80,0.24,6.22,0.00,1556,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1630,0.77,0.62,-10.5,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.2,2.6,80,0.25,6.29,0.00,1496,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1733,0.77,0.63,-10.5,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.2,2.6,80,0.25,6.09,0.00,1464,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1835,0.76,0.64,-10.5,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.0,2.6,80,0.25,5.85,0.00,1396,0.0,0.82,0.78,0.0,7.1,11.0,0.0
1939,0.76,0.64,-10.4,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.9,2.6,80,0.26,5.92,0.00,1359,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2040,0.76,0.65,-10.3,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.1,2.8,80,0.26,5.85,0.00,1339,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2141,0.76,0.65,-10.3,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,3.1,2.8,80,0.27,5.85,0.00,1316,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2244,0.76,0.66,-10.2,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.9,2.8,80,0.29,5.89,0.00,1237,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2347,0.76,0.66,-10.1,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.8,2.8,80,0.28,5.65,0.00,1217,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2448,0.76,0.67,-10.0,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.8,2.8,80,0.28,5.65,0.00,1212,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2550,0.76,0.68,-10.0,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.8,2.8,80,0.28,5.72,0.00,1213,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2652,0.76,0.68,-10.0,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.8,2.8,80,0.27,5.51,0.00,1210,0.0,0.82,0.78,0.0,6.3,11.0,0.0
2752,0.76,0.68,-9.9,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.8,2.8,80,0.27,5.48,0.00,1211,0.0,0.82,0.78,0.0,6.3,11.0,0.0
2855,0.76,0.68,-9.9,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.9,2.8,80,0.27,5.48,0.00,1233,0.0,0.82,0.78,0.0,6.3,11.0,0.0
2957,0.76,0.68,-9.9,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.9,2.8,80,0.27,5.45,0.00,1230,0.0,0.82,0.78,0.0,6.3,11.0,0.0
3059,0.76,0.69,-10.0,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.9,2.8,80,0.26,5.35,0.00,1236,0.0,0.82,0.78,0.0,6.3,11.0,0.0
3161,0.76,0.69,-10.0,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.7,2.6,80,0.25,5.24,0.00,1240,0.0,0.82,0.78,0.0,6.3,11.0,0.0
3263,0.76,0.69,-10.1,-11.1,203,0.00,0.00,-0.0,-3.52,100.0,1.000,2.7,2.6,80,0.25,5.24,0.00,1246,0.0,0.82,0.78,0.0,6.3,11.0,0.0
