Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
56,0.93,0.94,-10.0,-11.3,185,0.00,0.00,2.1,-0.59,33.3,1.000,1.6,2.0,75,0.26,4.11,0.00,951,0.0,0.82,0.78,0.0,5.9,14.5,0.0
101,0.93,0.94,-9.9,-11.3,185,0.00,0.00,2.2,-0.59,33.3,1.000,1.6,2.0,75,0.25,4.00,0.00,947,0.0,0.82,0.78,0.0,5.5,13.5,0.0
203,0.93,0.94,-9.9,-11.3,185,0.00,0.00,2.1,-0.68,33.3,1.000,1.6,2.0,75,0.25,3.97,0.00,952,0.0,0.82,0.78,0.0,5.5,14.0,0.0
308,0.94,0.94,-10.0,-11.3,185,0.00,0.00,2.1,-0.68,33.3,1.000,1.6,2.0,75,0.25,3.97,0.00,954,0.0,0.82,0.78,0.0,5.5,13.5,0.0
407,0.94,0.94,-9.9,-11.3,185,0.00,0.00,2.0,-0.68,33.3,1.000,1.6,2.0,75,0.25,3.95,0.00,941,0.0,0.82,0.78,0.0,5.5,14.5,0.0
510,0.94,0.94,-9.9,-11.3,185,0.00,0.00,2.1,-0.68,33.3,1.000,1.6,2.0,75,0.25,3.95,0.00,949,0.0,0.82,0.78,0.0,5.5,13.5,0.0
612,0.94,0.94,-9.9,-11.3,185,0.00,0.00,2.2,-0.68,33.3,1.000,1.6,2.0,75,0.25,3.84,0.00,936,0.0,0.82,0.78,0.0,5.5,14.0,0.0
713,0.94,0.94,-9.8,-11.3,185,0.00,0.00,2.2,-0.68,33.3,1.000,1.6,2.0,75,0.24,3.81,0.00,936,0.0,0.82,0.78,0.0,5.5,14.5,0.0
816,0.95,0.94,-9.8,-11.3,185,0.00,0.00,2.5,-0.68,33.3,1.000,1.6,2.0,75,0.24,3.79,0.00,939,0.0,0.82,0.78,0.0,5.5,14.0,0.0
917,0.95,0.94,-9.7,-11.3,185,0.00,0.00,2.6,-0.68,33.3,1.000,1.6,2.0,75,0.24,3.76,142.36,945,0.0,0.82,0.78,38.0,8.6,12.5,23.5
1022,0.95,0.94,-9.6,-12.7,185,0.00,0.00,3.0,-0.68,33.3,1.000,4.1,5.1,75,2.64,41.97,217.43,955,0.0,1.32,1.36,64.7,99.6,11.5,89.4
1123,0.96,0.74,-0.3,0.9,185,0.00,0.00,3.9,-2.54,66.7,1.000,7.2,6.9,75,1.14,23.91,239.81,1260,0.0,3.28,3.40,63.5,100.0,12.5,89.4
1223,1.01,0.84,-0.2,1.3,185,0.00,0.00,-0.0,-2.59,66.7,1.000,9.6,6.9,75,0.99,27.53,233.44,1664,0.0,3.66,3.66,44.7,100.0,16.5,89.4
1324,0.98,0.86,-0.2,4.4,185,0.00,0.00,-0.0,-2.59,66.7,1.000,10.1,6.4,75,1.01,31.89,57.15,1896,0.0,3.66,3.66,11.0,23.5,21.0,0.0
1428,0.92,1.06,-2.3,-4.3,185,0.00,0.00,-1.8,-2.59,66.7,1.000,7.5,4.6,75,0.46,15.17,37.88,1966,0.0,3.66,3.66,11.8,9.8,33.5,0.0
1531,0.93,1.08,-5.5,-8.8,185,0.00,0.00,-1.1,-2.59,66.7,1.000,5.4,3.8,75,0.50,14.20,92.72,1720,1.2,3.66,3.68,16.9,13.7,38.0,0.0
1632,0.91,0.91,-5.6,-6.2,185,0.00,0.00,-2.3,-2.59,66.7,1.000,5.4,4.4,75,0.83,20.45,137.68,1477,1.9,3.66,3.66,23.9,16.5,29.5,88.2
1734,0.92,0.85,-3.7,-3.2,185,0.00,0.00,-2.1,-2.59,66.7,1.000,6.0,5.6,75,1.26,26.88,151.84,1280,2.5,3.66,3.66,24.7,19.2,12.5,89.4
1834,0.96,0.81,-1.8,-1.4,185,0.00,0.00,-1.7,-2.59,66.7,1.000,6.7,6.9,75,1.23,23.69,141.31,1159,3.1,3.66,3.66,21.2,18.0,5.0,89.4
1939,0.98,0.87,-1.1,-1.4,185,0.00,0.00,2.8,-2.59,66.7,1.000,6.2,6.9,75,1.07,19.17,137.59,1074,3.7,3.66,3.66,21.2,16.9,3.5,89.4
2040,0.96,0.91,-1.0,-2.0,185,0.00,0.00,2.6,-2.59,66.7,1.000,5.5,6.7,75,1.05,17.38,149.03,994,4.3,3.66,3.66,24.3,18.8,1.5,89.4
