Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
44,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.93,0.00,900,0.0,0.80,0.76,0.0,6.3,10.5,0.0
101,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.93,0.00,904,0.0,0.80,0.76,0.0,6.3,10.0,0.0
203,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.90,0.00,898,0.0,0.80,0.76,0.0,6.3,11.0,0.0
304,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.96,0.00,912,0.0,0.80,0.76,0.0,6.3,10.5,0.0
407,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.90,0.00,903,0.0,0.80,0.76,0.0,6.3,9.5,0.0
508,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.99,0.00,907,0.0,0.80,0.76,0.0,6.7,10.0,0.0
611,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.96,0.00,913,0.0,0.80,0.76,0.0,6.3,9.5,0.0
712,0.84,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,5.02,0.00,910,0.0,0.80,0.76,0.0,6.3,9.5,0.0
813,0.85,0.81,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.99,0.00,919,0.0,0.80,0.76,0.0,6.3,9.0,0.0
917,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.96,0.00,911,0.0,0.80,0.76,0.0,6.3,9.5,0.0
1018,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.32,4.93,0.00,914,0.0,0.80,0.76,0.0,6.3,9.5,0.0
1119,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.93,0.00,908,0.0,0.80,0.76,0.0,6.3,10.0,0.0
1222,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-0.6,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.96,0.00,913,0.0,0.80,0.76,0.0,6.3,9.5,0.0
1324,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-0.1,-0.78,100.0,1.000,2.1,2.8,118,0.33,4.99,0.00,911,0.0,0.80,0.76,0.0,6.3,9.0,0.0
1427,0.84,0.82,-9.2,-11.3,192,0.00,0.00,-4.5,-0.78,100.0,1.000,2.0,2.6,118,0.32,4.90,0.00,916,0.0,0.80,0.76,0.0,6.3,10.0,0.0
1528,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-6.7,-0.78,100.0,1.000,2.0,2.6,120,0.32,4.93,0.00,916,0.0,0.82,0.78,0.0,6.3,9.5,0.0
1629,0.85,0.82,-9.2,-11.3,192,0.00,0.00,-7.4,-0.78,100.0,1.000,2.0,2.6,118,0.33,4.93,0.00,908,0.0,0.82,0.76,0.0,6.7,10.0,0.0
1732,0.86,0.83,-9.2,-11.3,192,0.00,0.00,-9.0,-0.78,100.0,1.000,2.0,2.6,118,0.33,4.96,0.00,908,0.0,0.80,0.76,0.0,6.7,10.0,0.0
1833,0.87,0.83,-9.2,-11.3,192,0.00,0.00,-10.5,-0.78,100.0,1.000,1.9,2.6,118,0.33,4.93,0.00,899,0.0,0.80,0.76,0.0,6.7,11.0,0.0
1936,0.87,0.83,-9.2,-11.3,192,0.00,0.00,-11.2,-0.78,100.0,1.000,2.0,2.6,120,0.33,4.93,0.00,904,0.0,0.80,0.76,0.0,6.7,10.5,0.0
2037,0.88,0.83,-9.2,-11.3,192,0.00,0.00,-11.9,-0.78,100.0,1.000,1.9,2.6,120,0.33,4.90,0.00,896,0.0,0.82,0.78,0.0,6.7,11.0,0.0
2141,0.90,0.83,-9.2,-11.3,192,0.00,0.00,-12.6,-0.78,100.0,1.000,1.9,2.6,120,0.33,4.90,0.00,892,0.0,0.80,0.76,0.0,6.7,11.5,0.0
2243,0.91,0.82,-9.2,-11.3,192,0.00,0.00,-13.2,-0.78,100.0,1.000,1.9,2.6,120,0.34,4.99,0.00,883,0.0,0.80,0.76,0.0,6.7,12.0,0.0
2345,0.92,0.82,-9.2,-11.3,192,0.00,0.00,-13.6,-0.78,100.0,1.000,1.9,2.6,120,0.33,4.93,0.00,886,0.0,0.80,0.76,0.0,6.3,11.5,0.0
2448,0.93,0.83,-9.1,-11.3,192,0.00,0.00,-13.6,-0.78,100.0,1.000,1.9,2.6,120,0.34,4.93,0.00,875,0.0,0.80,0.76,0.0,6.7,12.5,0.0
2552,0.94,0.83,-9.1,-11.3,192,0.00,0.00,-0.1,-0.78,100.0,1.000,2.1,2.8,120,0.34,4.93,0.00,879,0.0,0.80,0.76,0.0,6.3,12.0,0.0
2652,0.95,0.83,-9.1,-11.3,192,0.00,0.00,-0.0,-0.78,100.0,1.000,2.1,2.8,120,0.33,4.90,0.00,883,0.0,0.80,0.76,0.0,6.7,11.5,0.0
2753,0.95,0.83,-9.1,-11.3,192,0.00,0.00,-0.3,-0.78,100.0,1.000,2.1,2.8,120,0.33,4.96,0.00,901,0.0,0.80,0.76,0.0,6.7,9.5,0.0
2854,0.95,0.84,-9.1,-11.3,192,0.00,0.00,-0.6,-0.78,100.0,1.000,2.1,2.8,120,0.33,4.93,0.00,900,0.0,0.80,0.76,0.0,6.7,9.5,0.0
2959,0.95,0.84,-9.1,-11.3,192,0.00,0.00,-1.3,-0.78,100.0,1.000,2.1,2.8,120,0.33,4.96,0.00,910,0.0,0.80,0.78,0.0,6.7,9.0,0.0
3059,0.94,0.84,-9.1,-11.3,190,0.00,0.00,-2.5,-0.78,100.0,1.000,2.1,2.8,120,0.33,5.02,0.00,905,0.0,0.80,0.78,0.0,6.3,9.5,0.0
