Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
103,1.01,0.99,-9.8,-11.3,194,0.00,0.00,4.5,-6.59,100.0,1.000,1.5,2.0,107,0.28,4.20,0.00,908,0.0,0.82,0.78,0.0,5.5,11.5,0.0
104,1.01,0.99,-9.8,-11.3,194,0.00,0.00,4.7,-6.59,100.0,1.000,1.5,2.0,107,0.28,4.14,0.00,894,0.0,0.82,0.78,0.0,5.9,12.5,0.0
200,1.01,0.99,-9.8,-11.3,194,0.00,0.00,4.9,-6.59,100.0,1.000,1.5,2.0,107,0.28,4.14,0.00,902,0.0,0.82,0.78,0.0,5.9,11.5,0.0
303,1.01,1.00,-9.8,-11.3,194,0.00,0.00,4.9,-6.59,33.3,1.000,1.7,2.3,107,0.28,4.20,0.00,894,0.0,0.82,0.78,0.0,5.9,12.0,0.0
406,1.01,1.00,-9.8,-11.3,194,0.00,0.00,5.1,-6.59,33.3,1.000,1.7,2.3,107,0.28,4.20,0.00,903,0.0,0.82,0.78,0.0,5.9,11.0,0.0
506,1.01,1.00,-9.8,-11.3,194,0.00,0.00,5.2,-6.59,33.3,1.000,1.5,2.0,107,0.28,4.20,0.00,887,0.0,0.82,0.78,0.0,5.9,12.5,0.0
609,1.01,0.99,-9.7,-11.3,194,0.00,0.00,5.3,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.22,0.00,884,0.0,0.82,0.78,0.0,5.9,12.5,0.0
712,1.01,0.99,-9.7,-11.3,194,0.00,0.00,5.7,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.25,0.00,879,0.0,0.82,0.78,0.0,5.9,12.5,0.0
815,1.02,0.99,-9.7,-11.3,194,0.00,0.00,5.7,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.28,0.00,894,0.0,0.82,0.78,0.0,5.9,11.0,0.0
917,1.02,0.99,-9.7,-11.3,194,0.00,0.00,6.2,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.34,0.00,890,0.0,0.82,0.78,0.0,5.9,11.5,0.0
1019,1.02,0.99,-9.6,-11.3,194,0.00,0.00,6.8,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.37,0.00,890,0.0,0.82,0.78,0.0,5.9,11.5,0.0
1118,1.03,0.98,-9.6,-11.3,194,0.00,0.00,7.2,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.31,0.00,889,0.0,0.82,0.78,0.0,5.9,11.0,0.0
1221,1.02,0.99,-9.6,-11.3,194,0.00,0.00,7.4,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.34,0.00,902,0.0,0.82,0.78,0.0,5.9,10.0,0.0
1322,1.03,1.00,-9.6,-11.3,194,0.00,0.00,7.6,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.28,0.00,893,0.0,0.82,0.78,0.0,5.9,11.0,0.0
1425,1.03,1.00,-9.6,-11.3,194,0.00,0.00,8.1,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.37,0.00,908,0.0,0.82,0.78,0.0,5.9,9.5,0.0
1527,1.03,1.00,-9.6,-11.3,194,0.00,0.00,8.5,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.34,0.00,905,0.0,0.82,0.78,0.0,5.9,9.5,0.0
1628,1.03,1.00,-9.6,-11.3,194,0.00,0.00,8.7,-6.59,33.3,1.000,1.8,2.3,107,0.29,4.37,0.00,914,0.0,0.82,0.78,0.0,5.9,9.0,0.0
1732,1.03,1.00,-9.7,-11.3,194,0.00,0.00,9.0,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.37,0.00,904,0.0,0.82,0.78,0.0,5.9,9.5,0.0
1833,1.02,1.00,-9.7,-11.3,194,0.00,0.00,9.1,-6.59,33.3,1.000,1.7,2.3,107,0.29,4.34,0.00,903,0.0,0.82,0.78,0.0,5.9,10.0,0.0
