sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,544277.250,14.7,0,-4.6875,8.704,100,1,27,0,-1.45098,0,95,4.89,11.7529,9.41177,9.41177,0,0,11.52,109.4,910.75,0,0,9.41177,1,0,0,0,1,0,.322152
1,544277.500,14.7,0,-4.6875,3.072,100,1,26,0,-7.5451,0,95,7.83,6.96471,9.41177,9.41177,0,0,11.52,109.4,1822,0,0,9.41177,1,0,0,0,1,0,.257849
2,544277.750,14.7,0,-4.6875,2.816,100,1,19,0,-9.57647,0,95,8.56,4.93333,9.41177,9.41177,0,0,12.32,109.4,1916.5,0,0,9.80392,1,0,0,0,1,0,.267988
3,544278.000,14.7,0,-4.6875,2.816,100,1,15,0,-9.72157,0,96.8,8.64,4.64314,9.41177,9.41177,0,0,12.32,109.4,1784.75,0,0,9.80392,1,0,0,0,1,0,.290461
4,544278.250,14.7,0,-4.6875,2.816,100,1,14.5,0,-9.72157,0,96.8,8.85,4.78824,9.41177,9.41177,0,0,12.56,111.2,1649,0,0,9.80392,1,0,0,0,1,0,.322013
5,544278.500,14.7,0,-4.6875,3.072,100,1,14,0,-9.57647,0,96.8,8.77,4.93333,9.41177,9.41177,0,0,12.56,111.2,1524.5,0,0,9.80392,1,1,0,1,1,0,.345162
6,544278.750,14.7,0,-4.6875,3.072,100,1,13.5,0,-9.28627,0,96.8,8.9,5.07843,9.41177,9.41177,0,0,12.64,111.2,1470.5,0,0,9.80392,1,1,0,1,1,0,.363142
7,544279.000,14.7,0,-4.6875,3.072,100,1,13,0,-9.14118,0,96.8,8.73,5.22353,9.41177,9.41177,0,0,12.64,111.2,1434.5,0,0,9.80392,1,1,0,1,1,0,.365145
8,544279.250,14.7,0,-4.6875,3.072,100,1,12.5,0,-9.14118,0,96.8,8.39,5.22353,9.41177,9.41177,0,0,12.72,111.2,1424.75,0,0,9.41177,1,1,0,1,1,0,.353325
9,544279.500,14.7,0,-4.6875,3.072,100,1,12,0,-9.14118,0,95,8.48,5.36863,9.41177,9.41177,0,0,12.72,111.2,1400.75,0,0,9.41177,1,1,0,1,1,0,.363234
