Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
59,1.00,Infinity,-0.9,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,0.0,7.7,71,0.00,1.63,0.00,0,0.0,0.82,0.78,0.0,4.7,13.0,0.0
102,1.00,0.98,-0.9,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.4,7.4,71,0.34,1.25,0.00,219,0.0,0.82,0.78,0.0,4.7,13.0,0.0
202,1.00,0.78,-1.3,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.5,7.4,71,0.32,1.25,0.00,236,0.0,0.82,0.78,0.0,4.7,13.0,0.0
304,1.00,0.78,-1.7,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,2.3,6.4,71,0.27,1.90,0.00,423,0.0,0.82,0.78,0.0,4.7,20.0,0.0
408,1.09,0.78,-3.9,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,4.4,4.9,71,0.13,2.31,0.00,1070,0.0,0.82,0.76,0.0,4.7,24.5,0.0
509,1.09,0.79,-5.8,-11.4,143,0.00,0.00,-0.0,0.00,100.0,0.800,4.0,3.6,71,0.12,2.73,0.00,1341,0.0,0.82,0.76,0.0,4.7,24.5,0.0
610,1.09,0.79,-8.0,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,2.9,2.3,71,0.11,2.81,0.00,1492,0.0,0.82,0.78,0.0,4.3,24.5,0.0
712,1.08,0.79,-9.1,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,2.4,1.8,71,0.11,2.81,0.00,1575,0.0,0.82,0.78,0.0,4.7,22.5,0.0
814,1.06,0.81,-10.2,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.9,1.5,71,0.11,2.81,0.00,1545,0.0,0.82,0.78,0.0,4.7,21.0,0.0
915,0.99,0.82,-10.8,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.8,1.5,71,0.12,2.96,0.00,1466,0.0,0.82,0.78,0.0,4.7,19.0,0.0
1017,0.96,0.84,-11.1,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.7,1.5,71,0.13,3.02,0.00,1376,0.0,0.82,0.78,0.0,4.7,17.5,0.0
1120,0.95,0.85,-11.2,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.6,1.5,71,0.15,3.06,0.00,1261,0.0,0.82,0.78,0.0,4.7,16.5,0.0
1222,0.96,0.86,-11.2,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.4,1.5,71,0.16,3.08,0.00,1150,0.0,0.82,0.78,0.0,4.7,16.5,0.0
1327,0.97,0.87,-11.1,-11.1,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.3,1.5,71,0.18,3.10,0.00,1048,0.0,0.82,0.78,0.0,4.7,16.5,0.0
1425,0.97,0.87,-11.1,-11.2,143,0.00,0.00,-0.0,0.00,100.0,0.800,1.4,1.8,71,0.20,3.12,0.00,953,0.0,0.82,0.78,0.0,4.7,16.5,0.0
