sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,1612349.250,14.7,0,-4.6875,10.752,100,1,26.5,0,-5.51373,0,57.2,10.28,8.99608,9.41177,9.41177,0,0,13.04,57.2,1609.75,0,0,10.9804,1,0,0,0,1,1,.383165
1,1612349.500,14.7,0,-5.46875,4.864,100,1,21.5,0,-7.98039,0,57.2,13.2,6.23922,9.41177,9.41177,0,0,13.04,57.2,1957.5,0,0,10.9804,1,0,0,0,1,1,.404598
2,1612349.750,14.7,0,-5.46875,4.608,100,1,18,0,-8.85098,0,57.2,13.54,5.51373,9.41177,9.41177,0,0,12.56,57.2,1992.25,0,0,10.9804,1,0,0,0,1,1,.40778
3,1612350.000,14.7,0,-6.25,4.608,100,1,17,0,-9.14118,0,57.2,13.35,5.22353,9.41177,9.41177,0,0,12.56,57.2,1954,0,0,10.9804,1,1,0,0,1,1,.409928
4,1612350.250,14.7,0,-6.25,4.608,100,1,16.5,0,-9.14118,0,57.2,12.98,5.22353,9.41177,9.41177,0,0,12.48,57.2,1879.5,0,0,10.9804,1,1,0,1,1,1,.414366
5,1612350.500,14.7,0,-7.03125,4.608,100,1,16,0,-9.14118,0,57.2,13.13,5.36863,9.41177,9.41177,0,0,12.48,57.2,1801.5,0,0,10.9804,1,1,0,1,1,1,.437302
6,1612350.750,14.7,0,-7.03125,4.864,100,1,15.5,0,-8.99608,0,57.2,13.13,5.51373,9.41177,9.41177,0,0,12.64,57.2,1702.5,0,0,10.9804,1,1,0,1,1,1,.462731
7,1612351.000,14.7,0,-7.8125,4.864,100,1,15,0,-8.85098,0,57.2,13.28,5.51373,9.41177,9.41177,0,0,12.64,57.2,1659.5,0,0,10.9804,1,1,0,1,1,1,.480145
8,1612351.250,14.7,0,-9.375,4.864,100,1,14.5,0,-8.85098,0,57.2,12.94,5.65882,9.41177,9.41177,0,0,12.56,57.2,1625.75,0,0,10.9804,1,1,0,1,1,1,.477564
9,1612351.500,14.7,0,-9.375,4.608,100,1,14,0,-8.70588,0,57.2,12.72,5.65882,9.41177,9.41177,0,0,12.56,57.2,1605,0,0,10.9804,1,1,0,1,1,1,.475514
10,1612351.750,14.7,0,-9.375,4.864,100,1,13.5,0,-8.41569,0,57.2,14.02,6.09412,9.41177,9.41177,0,0,12.8,57.2,1586.5,0,0,11.7647,1,1,0,1,1,1,.530224
11,1612352.000,14.7,0,-9.375,5.12,100,1,13,0,-8.12549,0,57.2,14.13,6.23922,9.41177,9.41177,0,0,12.8,57.2,1579.75,0,0,11.7647,1,1,0,1,1,1,.536667
12,1612352.250,14.7,0,-9.375,4.864,100,1,12.5,0,-8.12549,0,57.2,13.54,6.23922,9.41177,9.41177,0,0,12.8,57.2,1591.25,0,0,11.3725,1,1,0,1,1,1,.510542
13,1612352.500,14.7,0,-9.375,4.864,100,1,12,0,-8.12549,0,57.2,13.84,6.23922,9.41177,9.41177,0,0,12.8,57.2,1556,0,0,11.3725,1,1,0,1,1,1,.533676
14,1612352.750,14.7,0,-9.375,4.864,100,1,11.5,0,-8.12549,0,57.2,13.62,6.38431,9.41177,9.41177,0,0,12.72,57.2,1531,0,0,11.3725,1,1,0,1,1,1,.533769
15,1612353.000,14.7,0,-9.375,4.864,100,1,11,0,-7.98039,0,57.2,13.66,6.38431,9.41177,9.41177,0,0,12.72,57.2,1498,0,0,11.3725,1,1,0,1,1,1,.54713
16,1612353.250,14.7,0,-9.375,4.864,100,1,11,0,-7.98039,0,57.2,13.43,6.38431,9.41177,9.41177,0,0,12.8,57.2,1518.25,0,0,11.3725,1,1,0,1,1,1,.530743
17,1612353.500,14.7,0,-9.375,4.864,100,1,10.5,0,-7.98039,0,57.2,13.69,6.38431,9.41177,9.41177,0,0,12.8,57.2,1529.5,0,0,11.3725,1,1,0,1,1,1,.537038
18,1612353.750,14.7,0,-9.375,4.608,100,1,10,0,-7.98039,0,57.2,13.73,6.38431,9.41177,9.41177,0,0,12.8,57.2,1524.25,0,0,11.3725,1,1,0,1,1,1,.540462
19,1612354.000,14.7,0,-9.375,4.608,100,1,9.5,0,-7.98039,0,57.2,13.66,6.38431,9.41177,9.41177,0,0,12.8,57.2,1505.75,0,0,11.3725,1,1,0,1,1,1,.544313
20,1612354.250,14.7,0,-9.375,4.608,100,1,9.5,0,-7.83529,0,57.2,13.66,6.52941,9.41177,9.41177,0,0,13.04,57.2,1513,0,0,11.7647,1,1,0,1,1,1,.541705
21,1612354.500,14.7,0,-9.375,4.864,100,1,9,0,-7.83529,0,57.2,13.84,6.52941,9.41177,9.41177,0,0,13.04,57.2,1524.75,0,0,11.7647,1,1,0,1,1,1,.544614
22,1612354.750,14.7,0,-9.375,4.608,100,1,9,0,-7.83529,0,57.2,13.81,6.52941,9.41177,9.41177,0,0,13.12,57.2,1505.5,0,0,11.7647,1,1,0,1,1,1,.550382
23,1612355.000,14.7,0,-9.375,4.608,100,1,8.5,0,-7.83529,0,57.2,13.73,6.67451,9.41177,9.41177,0,0,13.12,57.2,1494.5,0,0,11.7647,1,1,0,1,1,1,.551221
24,1612355.250,14.5852,0,-9.375,4.608,100,1,8.5,0,-7.6902,0,57.2,13.99,6.67451,9.41177,9.41177,0,0,13.2,57.2,1486.25,0,0,11.7647,1,1,0,1,1,1,.564777
25,1612355.500,14.5852,0,-9.375,4.608,100,1,8,0,-7.6902,0,57.2,14.28,6.67451,9.41177,9.41177,0,0,13.2,57.2,1497.25,0,0,11.7647,1,1,0,1,1,1,.572249
26,1612355.750,14.5852,0,-9.375,4.608,100,1,7.5,0,-7.5451,0,57.2,14.45,6.81961,9.41177,9.41177,0,0,13.2,57.2,1519.75,0,0,11.7647,1,1,0,1,1,1,.570489
