sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,517.000,14.7,0,-2.34375,3.328,100,1,20,0,-6.67451,0,123.8,4.48,7.2549,9.41177,9.41177,0,0,11.04,195.8,1375,0,0,6.66667,1,0,0,0,1,0,.195491
1,517.250,14.7,0,-2.34375,2.56,100,1,17,0,-9.72157,0,123.8,4.62,4.64314,9.41177,9.41177,0,0,13.6,195.8,1596.25,0,0,6.27451,1,0,0,0,1,0,.173657
2,517.500,14.7,0,-2.34375,2.304,100,1,12.5,0,-10.5922,0,123.8,4.62,3.77255,9.41177,9.41177,0,0,13.6,195.8,1528,0,0,6.27451,1,0,0,0,1,0,.181414
3,517.750,14.7,0,-2.34375,2.56,100,1,12,0,-10.5922,0,123.8,4.77,3.62745,9.41177,9.41177,0,0,13.76,195.8,1404.25,0,0,6.66667,1,0,0,0,1,0,.20381
4,518.000,14.7,0,-2.34375,2.56,100,1,12,0,-10.4471,0,123.8,4.71,3.91765,9.41177,9.41177,0,0,13.76,195.8,1157.75,0,0,6.66667,1,1,0,1,1,0,.244094
5,518.250,14.7,0,-2.34375,2.816,100,1,12,0,-10.1569,0,123.8,4.77,4.06275,9.41177,9.41177,0,0,13.68,195.8,1003.25,0,0,6.66667,1,1,0,1,1,0,.285273
6,518.500,14.7,0,-2.34375,3.072,100,1,12,0,-9.86667,0,123.8,4.48,4.49804,9.41177,9.41177,0,0,13.68,195.8,849,0,0,6.27451,1,1,0,1,1,0,.316608
7,518.750,14.7,0,-2.34375,3.328,100,1,12,0,-9.43137,0,123.8,4.39,4.78824,9.41177,9.41177,0,0,13.28,195.8,729.75,0,0,6.27451,1,1,0,1,1,0,.360946
8,519.000,14.7,0,-2.34375,3.584,100,1,12,0,-8.99608,0,123.8,4.28,5.36863,9.41177,9.41177,0,1,13.28,195.8,646.25,0,0,6.27451,1,1,0,1,1,0,.397369
9,519.250,14.7,0,-2.34375,3.84,100,1,12,0,-8.56078,0,123.8,4.19,5.80392,9.41177,9.41177,0,0,12.96,195.8,599.75,0,0,6.27451,1,1,0,1,1,0,.419175
10,519.500,14.7,0,-2.34375,4.352,100,1,11.5,0,-7.98039,0,123.8,5.25,6.38431,9.41177,9.41177,0,0,12.96,195.8,654.25,0,0,7.05882,1,1,0,1,1,0,.481467
11,519.750,14.7,0,-2.34375,4.096,100,1,11.5,0,-7.5451,0,123.8,5.3,6.81961,9.41177,9.41177,0,0,13.52,195.8,735.5,0,0,7.05882,1,1,0,1,1,0,.432359
12,520.000,14.7,0,-2.34375,3.84,100,1,11.5,0,-7.6902,0,123.8,5.05,6.52941,9.41177,9.41177,0,0,13.52,195.8,806.25,0,0,7.05882,1,1,0,1,1,0,.375814
13,520.250,14.7,0,-2.34375,3.584,100,1,12,0,-8.12549,0,123.8,5.02,6.23922,9.41177,9.41177,0,0,13.76,195.8,841.5,0,0,7.05882,1,1,0,1,1,0,.357932
14,520.500,14.7,0,-2.34375,3.328,100,1,12,0,-8.27059,0,123.8,4.9,5.94902,9.41177,9.41177,0,0,13.76,195.8,869,0,0,6.66667,1,1,0,1,1,1,.33832
15,520.750,14.7,0,-2.34375,3.328,100,1,12,0,-8.41569,0,123.8,4.86,5.94902,9.41177,9.41177,0,0,13.76,195.8,893.5,0,0,6.66667,1,1,0,1,1,1,.326357
16,521.000,14.5852,0,-2.34375,3.072,100,1,12,0,-8.56078,0,123.8,4.8,5.80392,9.41177,9.41177,0,0,13.76,195.8,922.75,0,0,6.27451,1,1,0,1,1,1,.312111
17,521.250,14.5852,0,-2.34375,3.072,100,1,12,0,-8.85098,0,123.8,4.56,5.36863,9.41177,9.41177,0,0,13.76,195.8,916,0,0,6.27451,1,1,0,1,1,1,.29869
18,521.500,14.5852,0,-2.34375,3.072,100,1,12,0,-9.14118,0,123.8,4.68,5.22353,9.41177,9.41177,0,0,13.76,195.8,895.25,0,0,6.27451,1,1,0,1,1,1,.313655
19,521.750,14.5852,0,-2.34375,3.072,100,1,12,0,-9.14118,0,123.8,4.59,5.22353,9.41177,9.41177,0,0,13.76,195.8,831.25,0,0,6.27451,1,1,0,1,1,1,.331308
20,522.000,14.4703,0,-2.34375,3.072,100,1,16,0,-8.99608,0,122,4.57,5.36863,9.41177,9.41177,0,0,13.76,195.8,782.75,0,0,6.27451,1,1,0,1,1,1,.350303
21,522.250,14.4703,0,-2.34375,3.328,100,1,16,0,-8.85098,0,122,4.39,5.51373,9.41177,9.41177,0,0,13.76,194,745,0,0,6.27451,1,1,0,1,1,1,.353557
22,522.500,14.3555,0,-2.34375,3.328,100,1,16,0,-8.70588,0,122,4.25,5.65882,9.41177,9.41177,0,1,13.76,194,684,0,0,6.27451,1,1,0,1,1,1,.372807
23,522.750,14.2406,0,-2.34375,3.328,100,1,16,0,-8.41569,0,122,4.22,5.94902,9.41177,9.41177,1,1,13.52,194,639.5,0,0,6.27451,1,1,0,1,1,1,.395934
24,523.000,14.1258,0,-2.34375,3.84,100,1,16,0,-8.12549,0,122,4.48,6.23922,9.41177,9.41177,1,1,13.52,194,621.75,0,0,6.66667,1,1,0,1,1,1,.432328
25,523.250,14.0109,0,-2.34375,3.584,100,1,15.5,0,-7.6902,0,122,4.63,6.52941,9.41177,9.41177,0,1,13.44,194,645.5,0,0,6.66667,1,1,0,1,1,1,.430364
26,523.500,13.8961,0,-2.34375,3.584,100,1,15.5,0,-7.6902,0,122,4.56,6.67451,9.41177,9.41177,0,0,13.44,194,660.5,0,0,6.66667,1,1,0,1,1,0,.414232
27,523.750,13.7813,0,-2.34375,3.328,100,1,15,0,-4.64314,90.1961,122,14.57,9.72157,9.41177,9.41177,0,0,13.68,194,716,0,0,8.23529,1,1,0,1,1,0,1.22095
28,524.000,13.6664,0,-2.34375,3.84,100,1,15,0,-6.09412,0,122,6.2,8.12549,9.41177,9.41177,0,0,13.68,194,1053,0,0,7.05882,1,1,0,1,1,0,.353276
29,524.250,13.4367,0,-2.34375,3.328,100,1,14,0,-7.83529,0,122,5.13,6.38431,9.41177,9.41177,0,0,13.84,194,1145.5,0,6.27451,7.84314,1,1,0,1,1,0,.268704
30,524.500,13.3219,0,-2.34375,2.816,100,1,13.5,0,-8.70588,0,122,4.84,5.65882,9.41177,9.41177,0,0,13.84,192.2,998,0,3.52941,7.84314,1,1,0,1,1,0,.290982
31,524.750,13.207,0,-2.34375,3.072,100,1,22.5,0,-8.27059,0,122,5.86,6.09412,9.41177,9.41177,0,0,13.76,192.2,842,0,0,7.84314,1,1,0,1,1,0,.417577
32,525.000,13.3219,0,-2.34375,3.072,100,1,24,0,-8.27059,0,122,5.14,6.09412,9.41177,9.41177,0,1,13.76,192.2,725.75,0,1.96078,8.23529,1,1,0,1,1,0,.42494
33,525.250,13.3219,0,-2.34375,3.328,100,1,31.5,0,-7.2549,0,122,5.58,7.1098,9.41177,9.41177,1,1,13.68,192.2,625.75,0,7.05882,8.23529,1,1,0,1,1,0,.535038
34,525.500,13.207,0,-2.34375,5.12,100,1,29,0,-4.78824,0,122,9.38,9.57647,9.41177,9.41177,1,1,13.68,192.2,583.5,0,10.1961,10.5882,1,1,0,1,1,0,.964524
35,525.750,13.0922,0,-2.34375,5.376,100,1,21.5,0,-4.06275,0,122,6.75,10.302,9.41177,9.41177,0,0,13.84,192.2,878.5,0,1.56863,8.23529,1,1,0,1,1,0,.461013
36,526.000,12.7477,0,-2.34375,3.584,100,1,35,0,-6.81961,0,122,5.48,7.5451,9.41177,9.41177,0,0,13.84,190.4,1252.5,0,5.09804,7.84314,1,1,0,1,1,0,.262515
37,526.250,12.518,0,-2.34375,2.816,100,1,29.5,0,-8.12549,0,122,6.54,6.09412,9.41177,9.41177,0,0,13.84,190.4,1238.25,1.24274,5.88235,8.23529,1,1,0,1,1,0,.316899
38,526.500,12.7477,0,-2.34375,2.816,100,1,28,0,-8.56078,0,122,5.93,5.80392,9.41177,9.41177,0,0,13.84,190.4,1121.5,1.24274,2.35294,7.84314,1,1,0,1,1,0,.317254
39,526.750,12.9773,0,-2.34375,2.816,100,1,27.5,0,-8.70588,0,122,5.33,5.51373,9.41177,9.41177,0,0,13.76,190.4,913,1.86411,2.7451,7.45098,1,1,0,1,1,0,.350274
40,527.000,12.9773,0,-2.34375,3.328,100,1,27.5,0,-8.27059,0,122,5.55,6.09412,43.5294,43.5294,2,1,13.76,190.4,716.5,1.86411,2.7451,7.05882,1,1,0,1,1,0,.464759
41,527.250,13.207,0,-2.34375,3.84,100,1,31,0,-7.83529,0,122,4.93,6.67451,43.5294,43.5294,3,2,12.48,190.4,523,1.86411,1.56863,7.05882,1,1,0,1,1,0,.565583
42,527.500,13.207,0,-2.34375,4.864,100,1,31.5,0,-6.23922,0,122,5.62,8.12549,43.5294,43.5294,3,2,12.48,190.4,456.25,1.86411,1.17647,7.05882,1,1,0,1,1,0,.739068
43,527.750,13.0922,0,-2.34375,4.608,100,1,30,0,-5.65882,0,122,5.66,8.70588,43.5294,43.5294,0,0,13.04,190.4,635.75,2.48548,1.56863,7.84314,1,1,0,1,1,0,.534172
44,528.000,12.518,0,-2.34375,3.584,100,1,33,0,-6.23922,0,122,5.2,7.83529,43.5294,43.5294,0,0,13.04,190.4,905.75,2.48548,1.96078,7.05882,1,1,0,1,1,0,.344466
45,528.250,12.1734,0,-2.34375,3.072,100,1,31.5,0,-7.6902,0,122,5.96,6.52941,43.5294,43.5294,0,0,13.76,188.6,1135.75,2.48548,1.56863,8.23529,1,1,0,1,1,0,.314858
