sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,2247480.250,14.7,0,-3.90625,3.072,100,1,20,0,-8.12549,0,120.2,4.77,6.38431,9.41177,9.41177,0,0,11.76,185,1509.5,0,0,6.66667,1,0,0,0,1,0,.189599
1,2247480.500,14.7,0,-3.90625,2.304,100,1,15.5,0,-10.302,0,120.2,4.8,4.20784,9.41177,9.41177,0,0,13.6,185,1575.75,0,0,6.66667,1,0,0,0,1,0,.18277
2,2247480.750,14.7,0,-3.90625,2.304,100,1,12,0,-10.7373,0,120.2,4.9,3.62745,9.41177,9.41177,0,0,13.6,185,1439.75,0,0,6.66667,1,0,0,0,1,0,.204202
3,2247481.000,14.7,0,-3.90625,2.304,100,1,12,0,-10.7373,0,120.2,4.99,3.77255,9.41177,9.41177,0,0,13.92,185,1232.25,0,0,6.66667,1,0,0,0,1,0,.24297
4,2247481.250,14.7,0,-3.90625,2.56,100,1,12,0,-10.4471,0,120.2,4.96,4.06275,9.41177,9.41177,0,0,13.92,185,1045.25,0,0,6.66667,1,1,0,1,0,0,.284717
5,2247481.500,14.7,0,-3.90625,2.816,100,1,12,0,-10.0118,0,120.2,5.05,4.49804,9.41177,9.41177,0,0,13.28,185,900.5,0,0,6.66667,1,1,0,1,0,0,.33648
6,2247481.750,14.7,0,-3.90625,3.072,100,1,12,0,-9.72157,0,120.2,4.74,4.93333,9.41177,9.41177,0,0,13.28,185,814.25,0,0,6.66667,1,1,0,1,0,0,.349278
7,2247482.000,14.7,0,-3.90625,3.328,100,1,12,0,-9.43137,0,120.2,4.66,5.22353,9.41177,9.41177,0,0,13.2,185,767.75,0,0,6.27451,1,1,0,1,0,0,.364181
8,2247482.250,14.7,0,-3.90625,3.328,100,1,12,0,-9.14118,0,120.2,4.36,5.36863,9.41177,9.41177,0,0,13.2,185,749,0,0,6.27451,1,1,0,1,0,0,.349266
9,2247482.500,14.7,0,-3.90625,3.328,100,1,12,0,-9.14118,0,120.2,4.27,5.36863,9.41177,9.41177,0,0,13.12,185,735,0,0,6.27451,1,1,0,1,0,0,.348571
