sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,6480.500,14.7,0,-3.125,3.584,100,1,18,0,-7.83529,0,104,5.62,6.67451,9.41177,9.41177,0,0,13.44,176,1500,0,0,7.45098,1,0,0,0,1,0,.2248
1,6480.750,14.7,0,-3.125,2.816,100,1,13.5,0,-9.86667,0,104,5.75,4.49804,9.41177,9.41177,0,0,13.44,176,1599.25,0,0,7.45098,1,0,0,0,1,0,.215726
2,6481.000,14.7,0,-3.125,2.56,100,1,10,0,-10.5922,0,104,6.02,3.91765,9.41177,9.41177,0,0,14,176,1420.5,0,0,7.45098,1,0,0,0,1,0,.254277
3,6481.250,14.7,0,-3.125,2.56,100,1,10,0,-10.4471,0,104,5.92,3.91765,9.41177,9.41177,0,0,14,176,1237.5,0,0,7.45098,1,1,0,0,1,0,.28703
4,6481.500,14.7,0,-3.125,2.816,100,1,10,0,-10.1569,0,104,5.82,4.35294,9.41177,9.41177,0,0,13.92,176,1054.75,0,0,7.45098,1,1,0,1,1,0,.331074
5,6481.750,14.7,0,-3.125,3.072,100,1,10,0,-9.72157,0,104,5.78,4.78824,9.41177,9.41177,0,0,13.92,176,941.25,0,0,7.45098,1,1,0,1,1,0,.368446
6,6482.000,14.7,0,-3.125,3.328,100,1,10,0,-9.28627,0,104,5.78,5.22353,9.41177,9.41177,0,0,14,176,868.5,0,0,7.05882,1,1,0,1,1,0,.399309
7,6482.250,14.7,0,-3.125,3.328,100,1,10,0,-8.99608,0,104,5.45,5.36863,9.41177,9.41177,0,0,14,176,868.25,0,0,6.66667,1,1,0,1,1,0,.37662
8,6482.500,14.7,0,-3.125,3.328,100,1,10,0,-8.99608,0,104,5.38,5.36863,9.41177,9.41177,0,0,13.84,176,893,0,0,6.66667,1,1,0,1,1,0,.361478
9,6482.750,14.7,0,-3.125,3.328,100,1,10,0,-9.14118,0,104,5.16,5.36863,9.41177,9.41177,0,0,13.84,176,890,0,0,7.45098,1,1,0,1,1,0,.347865
10,6483.000,14.7,0,-3.125,3.328,100,1,10,0,-8.85098,0,104,6.09,5.51373,9.41177,9.41177,0,0,13.92,176,960,0,0,7.45098,1,1,0,1,1,0,.380625
11,6483.250,14.7,0,-3.125,3.328,100,1,10,0,-8.85098,0,104,6.09,5.51373,9.41177,9.41177,0,0,13.92,176,992.5,0,0,7.45098,1,1,0,1,1,0,.368161
12,6483.500,14.7,0,-3.125,3.328,100,1,10,0,-8.99608,0,104,5.89,5.36863,9.41177,9.41177,0,0,14,176,993.5,0,0,7.05882,1,1,0,1,1,0,.355712
13,6483.750,14.7,0,-3.125,3.328,100,1,10,0,-9.14118,0,104,5.65,5.22353,9.41177,9.41177,0,0,14,176,974.25,0,0,7.05882,1,1,0,1,1,0,.34796
14,6484.000,14.7,0,-3.125,3.328,100,1,10,0,-9.14118,0,102.2,5.78,5.22353,9.41177,9.41177,0,0,14,176,896,0,0,7.05882,1,1,0,1,1,0,.387054
15,6484.250,14.7,0,-3.125,3.328,100,1,10,0,-9.14118,0,102.2,5.62,5.22353,9.41177,9.41177,0,0,14,176,959,0,0,7.05882,1,1,0,1,1,0,.351616
16,6484.500,14.7,0,-3.125,3.072,100,1,10,0,-9.14118,0,102.2,5.58,5.22353,9.41177,9.41177,0,0,14,176,956,0,0,7.05882,1,1,0,1,1,0,.350209
17,6484.750,14.5852,0,-3.125,3.072,100,1,10,0,-9.14118,0,102.2,5.45,5.22353,9.41177,9.41177,0,0,14,176,946.75,0,0,7.05882,1,1,0,1,1,0,.345392
18,6485.000,14.5852,0,-3.125,3.072,100,1,10,0,-9.28627,0,102.2,5.38,5.22353,9.41177,9.41177,0,0,14.08,176,926.75,0,0,6.66667,1,1,0,1,1,0,.348314
19,6485.250,14.5852,0,-3.125,3.072,100,1,12.5,0,-9.28627,0,102.2,5.28,5.22353,9.41177,9.41177,0,0,14.08,176,917.75,0,0,6.66667,1,1,0,1,1,0,.345192
20,6485.500,14.4703,0,-3.125,3.072,100,1,11.5,0,-9.28627,0,102.2,5.25,5.22353,9.41177,9.41177,0,0,14,176,921.5,0,0,6.66667,1,1,0,1,1,0,.341834
21,6485.750,14.4703,0,-3.125,3.072,100,1,12,0,-9.28627,0,102.2,5.22,5.22353,9.41177,9.41177,0,0,14,176,928,0,0,6.66667,1,1,0,1,1,0,.3375
22,6486.000,14.3555,0,-3.125,3.072,100,1,12.5,0,-9.28627,0,102.2,5.25,5.22353,9.41177,9.41177,0,0,14.08,176,918.75,0,0,6.66667,1,1,0,1,1,0,.342857
23,6486.250,14.3555,0,-3.125,3.072,100,1,13,0,-9.28627,0,102.2,5.19,5.22353,9.41177,9.41177,0,0,14.08,176,897,0,0,6.66667,1,1,0,1,1,0,.347157
24,6486.500,14.2406,0,-3.125,3.072,100,1,12.5,0,-9.28627,0,102.2,5.15,5.22353,9.41177,9.41177,0,0,14.08,176,894.75,0,0,6.66667,1,1,0,1,1,0,.345348
25,6486.750,14.1258,0,-3.125,3.072,100,1,12,0,-9.28627,0,102.2,5.02,5.22353,9.41177,9.41177,0,0,14.08,176,901,0,0,6.66667,1,1,0,1,1,0,.334295
26,6487.000,13.8961,0,-3.125,3.072,100,1,13,0,-9.28627,0,102.2,5.09,5.22353,9.41177,9.41177,0,0,14.08,176,883.75,0,0,6.66667,1,1,0,1,1,0,.345573
27,6487.250,13.7813,0,-3.125,3.072,100,1,12.5,0,-9.28627,0,102.2,5.02,5.22353,9.41177,9.41177,0,0,14.08,176,878.75,0,0,6.66667,1,1,0,1,1,0,.34276
28,6487.500,13.6664,0,-3.125,3.072,100,1,12,0,-9.28627,0,102.2,4.99,5.22353,9.41177,9.41177,0,0,14,176,885,0,0,6.66667,1,1,0,1,1,0,.338305
29,6487.750,13.4367,0,-3.125,3.072,100,1,12,0,-9.28627,0,100.4,5.02,5.22353,9.41177,9.41177,0,0,14,176,888.75,0,0,6.66667,1,1,0,1,1,0,.338903
30,6488.000,13.207,0,-3.125,3.072,100,1,11,0,-9.28627,0,100.4,5.02,5.22353,9.41177,9.41177,0,0,14.08,176,877.25,0,0,6.66667,1,1,0,1,1,0,.343346
31,6488.250,12.9773,0,-3.125,3.072,100,1,10,0,-9.14118,0,100.4,4.99,5.22353,9.41177,9.41177,0,0,14.08,176,885.75,0,0,6.66667,1,1,0,1,1,0,.338019
32,6488.500,12.7477,0,-3.125,3.072,100,1,10,0,-9.28627,0,100.4,4.93,5.22353,9.41177,9.41177,0,0,14,176,898,0,0,6.66667,1,1,0,1,1,0,.329399
33,6488.750,12.6328,0,-3.125,3.072,100,1,11,0,-9.28627,0,100.4,4.99,5.22353,9.41177,9.41177,0,0,14,176,883.75,0,0,6.66667,1,1,0,1,1,1,.338784
34,6489.000,12.518,0,-3.125,3.072,100,1,10,0,-9.14118,0,100.4,4.99,5.36863,9.41177,9.41177,0,0,14.08,176,884.5,0,0,6.66667,1,1,0,1,1,1,.338496
35,6489.250,12.4031,0,-3.125,3.072,100,1,9,0,-9.14118,0,100.4,4.87,5.22353,9.41177,9.41177,0,0,14.08,176,905.5,0,0,6.66667,1,1,0,1,1,1,.322695
36,6489.500,12.4031,0,-3.125,2.816,100,1,10,0,-9.28627,0,100.4,4.93,5.22353,9.41177,9.41177,0,0,14.08,176,906,0,0,6.66667,1,1,0,1,1,1,.32649
37,6489.750,12.1734,0,-3.125,2.816,100,1,10,0,-9.28627,0,100.4,4.96,5.22353,9.41177,9.41177,0,0,14.08,176,901.25,0,0,6.66667,1,1,0,1,1,1,.330208
38,6490.000,12.0586,0,-3.125,2.816,100,1,9.5,0,-9.28627,0,100.4,4.96,5.22353,9.41177,9.41177,0,0,14.08,176,895,0,0,6.66667,1,1,0,1,1,1,.332514
39,6490.250,11.8289,0,-3.125,2.816,100,1,10,0,-9.28627,0,100.4,4.96,5.22353,9.41177,9.41177,0,0,14.08,176,900,0,0,6.66667,1,1,0,1,1,1,.330667
40,6490.500,11.7141,0,-3.125,2.816,100,1,10,0,-9.14118,0,100.4,5.06,5.36863,9.41177,9.41177,0,0,14,176,908,0,0,6.66667,1,1,0,1,1,1,.334361
41,6490.750,11.7141,0,-3.125,2.816,100,1,9,0,-9.14118,0,100.4,4.99,5.22353,9.41177,9.41177,0,0,14,176,923.5,0,0,6.66667,1,1,0,1,1,1,.324201
42,6491.000,11.5992,0,-3.125,2.816,100,1,8.5,0,-9.28627,0,100.4,4.9,5.22353,9.41177,9.41177,0,0,14,176,920.5,0,0,6.66667,1,1,0,1,1,1,.319392
43,6491.250,11.7141,0,-3.125,2.816,100,1,10,0,-9.14118,0,100.4,4.9,5.22353,9.41177,9.41177,0,0,14,176,906,0,0,6.66667,1,1,0,1,1,1,.324503
