sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,2331407.500,14.7,0,-7.03125,3.84,100,1,19.5,0,-5.07843,0,104,4.24,9.43137,9.41177,9.41177,0,0,10.96,197.6,1257,0,0,6.66667,1,0,0,0,1,0,.202387
1,2331407.750,14.7,0,-7.03125,2.816,100,1,18.5,0,-8.99608,0,104,4.74,5.22353,9.41177,9.41177,0,0,13.84,197.6,1624.5,0,0,6.66667,1,0,0,0,1,0,.175069
2,2331408.000,14.7,0,-7.03125,2.304,100,1,14,0,-10.4471,0,104,4.96,3.91765,9.41177,9.41177,0,0,13.84,197.6,1583.25,0,0,6.66667,1,1,0,0,1,0,.187968
3,2331408.250,14.7,0,-7.03125,2.304,100,1,11.5,0,-10.7373,0,104,5.02,3.62745,9.41177,9.41177,0,0,13.6,197.6,1407.75,0,0,7.05882,1,1,0,0,1,0,.213958
4,2331408.500,14.7,0,-7.03125,2.56,100,1,11.5,0,-10.4471,0,104,5.11,3.91765,9.41177,9.41177,0,0,13.6,197.6,1168.5,0,0,7.05882,1,1,0,1,0,0,.262388
5,2331408.750,14.7,0,-7.03125,2.816,100,1,11.5,0,-10.1569,0,104,5.11,4.20784,9.41177,9.41177,0,0,13.84,197.6,1047.75,0,0,6.66667,1,1,0,1,0,0,.292627
6,2331409.000,14.7,0,-7.03125,2.816,100,1,11.5,0,-10.0118,0,104,4.83,4.49804,9.41177,9.41177,0,0,13.84,197.6,959,0,0,6.66667,1,1,0,1,0,0,.30219
7,2331409.250,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.72157,0,104,4.78,4.78824,9.41177,9.41177,0,0,13.68,197.6,876.25,0,0,6.27451,1,1,0,1,0,0,.327304
8,2331409.500,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.57647,0,104,4.65,4.93333,9.41177,9.41177,0,0,13.68,197.6,823,0,0,6.27451,1,1,0,1,0,0,.339004
9,2331409.750,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.28627,0,104,4.56,5.07843,9.41177,9.41177,0,0,13.76,197.6,800.25,0,0,6.27451,1,1,0,1,0,0,.341893
10,2331410.000,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.28627,0,104,4.72,5.22353,9.41177,9.41177,0,0,13.76,197.6,795,0,0,6.66667,1,1,0,1,0,0,.356226
11,2331410.250,14.7,0,-7.03125,3.328,100,1,11.5,0,-8.85098,0,104,5.07,5.51373,9.41177,9.41177,0,0,13.84,197.6,818,0,0,6.66667,1,1,0,1,0,0,.371883
12,2331410.500,14.7,0,-7.03125,3.328,100,1,11.5,0,-8.85098,0,104,4.99,5.65882,9.41177,9.41177,0,0,13.84,197.6,852,0,0,6.27451,1,1,0,1,0,0,.351408
13,2331410.750,14.7,0,-7.03125,3.328,100,1,11.5,0,-8.99608,0,104,4.65,5.51373,9.41177,9.41177,0,0,13.84,197.6,848.75,0,0,6.27451,1,1,0,1,0,0,.328719
14,2331411.000,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,104,4.68,5.36863,9.41177,9.41177,0,0,13.84,197.6,839.5,0,0,6.27451,1,1,0,1,0,0,.334485
15,2331411.250,14.7,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,104,4.5,5.36863,9.41177,9.41177,0,0,13.84,197.6,823.25,0,0,6.27451,1,1,0,1,0,0,.327968
16,2331411.500,14.5852,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,104,4.48,5.36863,9.41177,9.41177,0,0,13.84,197.6,822.25,0,0,6.27451,1,1,0,1,0,0,.326908
17,2331411.750,14.5852,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,102.2,4.45,5.36863,9.41177,9.41177,0,0,13.76,197.6,815.25,0,0,6.27451,1,1,0,1,0,0,.327507
18,2331412.000,14.5852,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,102.2,4.39,5.22353,9.41177,9.41177,0,0,13.76,197.6,808.25,0,0,6.27451,1,1,0,1,0,0,.325889
19,2331412.250,14.4703,0,-7.03125,3.072,100,1,11.5,0,-9.14118,0,102.2,4.33,5.22353,9.41177,9.41177,0,0,13.92,197.6,805.5,0,0,5.88235,1,1,0,1,0,0,.322533
20,2331412.500,14.4703,0,-7.03125,3.072,100,1,15.5,0,-9.28627,0,102.2,4.1,5.22353,9.41177,9.41177,0,0,13.92,197.6,790,0,0,5.88235,1,1,0,1,0,0,.311392
21,2331412.750,14.3555,0,-7.03125,2.816,100,1,15,0,-9.28627,0,102.2,4.16,5.22353,9.41177,9.41177,0,0,13.92,197.6,794,0,0,5.88235,1,1,0,1,0,0,.314358
