sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,3184287.000,14.7,0,-3.125,6.144,100,1,27,0,-4.35294,0,93.2,7.15,9.57647,9.41177,9.41177,0,0,11.84,102.2,1395.25,0,0,9.41177,1,0,0,0,1,0,.307472
1,3184287.250,14.7,0,-3.125,3.072,100,1,24,0,-8.27059,0,93.2,8.43,5.94902,9.41177,9.41177,0,0,11.84,104,1895,0,0,9.80392,1,0,0,0,1,0,.266913
2,3184287.500,14.7,0,-3.125,3.072,100,1,17,0,-9.57647,0,93.2,9.86,4.78824,9.41177,9.41177,0,0,12.56,104,1892,0,0,10.1961,1,0,0,0,1,0,.312685
3,3184287.750,14.7,0,-3.125,3.072,100,1,15.5,0,-9.72157,0,93.2,9.65,4.78824,9.41177,9.41177,0,0,12.56,104,1771.25,0,0,10.1961,1,1,0,0,1,0,.326888
4,3184288.000,14.7,0,-3.125,3.072,100,1,15,0,-9.43137,0,93.2,9.42,4.93333,9.41177,9.41177,0,0,12.4,104,1601.25,0,0,10.1961,1,1,0,0,1,0,.352974
5,3184288.250,14.7,0,-3.125,3.328,100,1,14.5,0,-9.28627,0,93.2,9.32,5.07843,9.41177,9.41177,0,0,12.4,104,1572,0,0,10.1961,1,1,0,1,1,0,.355725
6,3184288.500,14.7,0,-3.125,3.328,100,1,13.5,0,-8.99608,0,93.2,9.51,5.36863,9.41177,9.41177,0,0,12.4,104,1541.5,0,0,9.80392,1,1,0,1,1,0,.370159
7,3184288.750,14.7,0,-3.125,3.328,100,1,13,0,-9.14118,0,93.2,9.27,5.22353,9.41177,9.41177,0,0,12.4,104,1540.25,0,0,9.80392,1,1,0,1,1,0,.36111
8,3184289.000,14.7,0,-3.125,3.328,100,1,12.5,0,-9.14118,0,93.2,9.15,5.36863,9.41177,9.41177,0,0,12.72,104,1502.75,0,0,9.80392,1,1,0,1,1,0,.36533
9,3184289.250,14.7,0,-3.125,3.328,100,1,12.5,0,-8.99608,0,93.2,9.19,5.36863,9.41177,9.41177,0,0,12.72,104,1481.75,0,0,9.80392,1,1,0,1,1,0,.372128
10,3184289.500,14.7,0,-3.125,3.328,100,1,12,0,-8.85098,0,93.2,10.49,5.51373,9.41177,9.41177,0,0,12.8,104,1456,0,0,10.5882,1,1,0,1,1,0,.43228
11,3184289.750,14.7,0,-3.90625,3.584,100,1,11.5,0,-8.56078,0,93.2,11.32,5.80392,9.41177,9.41177,0,0,12.8,104,1435.75,0,0,10.5882,1,1,0,1,1,0,.473063
12,3184290.000,14.7,0,-4.6875,3.584,100,1,11.5,0,-8.27059,0,93.2,10.8,6.09412,9.41177,9.41177,0,0,12.64,104,1353.5,0,0,10.1961,1,1,0,1,1,0,.478759
13,3184290.250,14.7,0,-6.25,3.84,100,1,11,0,-7.98039,0,93.2,11.01,6.38431,9.41177,9.41177,0,0,12.64,104,1318,0,0,10.5882,1,1,0,1,0,0,.501214
14,3184290.500,14.7,0,-7.03125,3.84,100,1,11,0,-7.6902,0,93.2,11.22,6.67451,9.41177,9.41177,0,0,12.72,104,1294,0,0,10.5882,1,1,0,1,0,0,.520247
15,3184290.750,14.7,0,-7.8125,4.096,100,1,11,0,-7.5451,0,93.2,11.85,6.81961,9.41177,9.41177,0,0,12.72,104,1289.25,0,0,10.5882,1,1,0,1,0,0,.551483
16,3184291.000,14.7,0,-8.59375,3.84,100,1,11.5,0,-7.5451,0,93.2,11.53,6.81961,9.41177,9.41177,0,0,12.8,104,1322,0,0,10.5882,1,1,0,1,0,0,.523298
17,3184291.250,14.7,0,-8.59375,3.84,100,1,11.5,0,-7.5451,0,93.2,12.3,6.81961,9.41177,9.41177,0,0,12.8,104,1378,0,0,10.9804,1,1,0,1,0,0,.535559
18,3184291.500,14.7,0,-9.375,3.84,100,1,11,0,-7.6902,0,93.2,12.06,6.67451,9.41177,9.41177,0,0,12.96,104,1432.5,0,0,10.9804,1,1,0,1,0,0,.505131
19,3184291.750,14.7,0,-10.1563,3.84,100,1,11,0,-7.83529,0,93.2,12.9,6.52941,9.41177,9.41177,0,0,12.96,104,1444.75,0,0,10.9804,1,1,0,1,0,0,.535733
20,3184292.000,14.7,0,-10.1563,3.84,100,1,10.5,0,-7.83529,0,93.2,12.98,6.52941,9.41177,9.41177,0,0,12.96,104,1469.75,0,0,10.9804,1,1,0,1,0,0,.529886
21,3184292.250,14.7,0,-10.9375,3.84,100,1,10.5,0,-7.83529,0,91.4,13.16,6.52941,9.41177,9.41177,0,0,12.96,104,1489,0,0,10.9804,1,1,0,1,0,0,.530289
22,3184292.500,14.7,0,-10.9375,3.584,100,1,10,0,-7.83529,0,91.4,13.09,6.52941,9.41177,9.41177,0,0,13.28,104,1487.75,0,0,10.9804,1,1,0,1,0,0,.527911
23,3184292.750,14.7,0,-10.9375,3.584,100,1,9.5,0,-7.83529,0,91.4,13.05,6.52941,9.41177,9.41177,0,0,13.28,104,1496.75,0,0,10.9804,1,1,0,1,0,0,.523133
24,3184293.000,14.7,0,-13.2813,3.584,100,1,7.5,0,-7.98039,0,91.4,13.28,6.52941,9.41177,9.41177,0,0,13.36,104,1504.75,0,0,10.9804,1,1,0,1,0,0,.529523
25,3184293.250,14.5852,0,-13.2813,3.584,100,1,10,0,-7.83529,0,91.4,13.2,6.52941,9.41177,9.41177,0,0,13.36,104,1475.5,0,0,10.9804,1,1,0,1,0,0,.536767
26,3184293.500,14.5852,0,-13.2813,3.584,100,1,9,0,-7.83529,0,91.4,13.2,6.52941,9.41177,9.41177,0,0,13.36,104,1483.5,0,0,10.9804,1,1,0,1,0,0,.533873
27,3184293.750,14.5852,0,-13.2813,3.584,100,1,8,0,-7.6902,0,91.4,13.2,6.67451,9.41177,9.41177,0,0,13.36,104,1479.5,0,0,11.3725,1,1,0,1,0,0,.535316
28,3184294.000,14.5852,0,-13.2813,3.584,100,1,8.5,0,-7.6902,0,91.4,13.28,6.67451,9.41177,9.41177,0,0,13.68,104,1412.5,0,0,11.3725,1,1,0,1,0,0,.564106
29,3184294.250,14.5852,0,-13.2813,3.584,100,1,8,0,-7.6902,0,91.4,13.28,6.67451,9.41177,9.41177,0,0,13.68,104,1467,0,0,11.3725,1,1,0,1,0,0,.543149
30,3184294.500,14.4703,0,-13.2813,3.584,100,1,8,0,-7.5451,0,91.4,13.5,6.81961,9.41177,9.41177,0,0,13.76,104,1470.25,0,0,11.3725,1,1,0,1,0,0,.550927
31,3184294.750,14.4703,0,-13.2813,3.584,100,1,8,0,-7.5451,0,91.4,13.54,6.81961,9.41177,9.41177,0,0,13.76,104,1472.75,0,0,11.3725,1,1,0,1,0,0,.551621
32,3184295.000,14.4703,0,-13.2813,3.584,100,1,7.5,0,-7.5451,0,91.4,13.32,6.81961,9.41177,9.41177,0,0,13.76,104,1478.5,0,0,11.3725,1,1,0,1,0,0,.540548
33,3184295.250,14.4703,0,-13.2813,3.584,100,1,6.5,0,-7.5451,0,91.4,13.32,6.96471,9.41177,9.41177,0,0,13.76,104,1482,0,0,11.3725,1,1,0,1,0,0,.539271
34,3184295.500,14.5852,0,-13.2813,3.584,100,1,5.5,0,-7.4,0,91.4,13.77,6.96471,9.41177,9.41177,0,0,14,104,1472.5,0,0,11.7647,1,1,0,1,0,0,.561087
35,3184295.750,14.7,0,-13.2813,3.584,100,1,5,0,-7.4,0,91.4,13.92,6.96471,9.41177,9.41177,0,0,14,104,1472,0,0,11.7647,1,1,0,1,0,0,.567391
36,3184296.000,15.0445,0,-13.2813,3.584,100,1,5,0,-7.2549,0,91.4,13.99,7.1098,9.41177,9.41177,0,0,14.08,104,1470.5,0,0,11.7647,1,1,0,1,0,0,.570826
37,3184296.250,15.0445,0,-13.2813,3.84,100,1,4.5,0,-7.2549,0,91.4,14.02,7.1098,9.41177,9.41177,0,0,14.08,104,1487.5,0,0,11.7647,1,1,0,1,0,0,.565513
38,3184296.500,15.2742,0,-13.2813,3.84,100,1,4.5,0,-7.1098,0,91.4,13.95,7.2549,9.41177,9.41177,0,0,14.16,104,1487.25,0,0,11.7647,1,1,0,1,0,0,.562784
39,3184296.750,15.3891,0,-13.2813,3.84,100,1,5,0,-7.1098,0,91.4,14.13,7.2549,9.41177,9.41177,0,0,14.16,104,1478.5,0,0,11.7647,1,1,0,1,0,0,.573419
40,3184297.000,15.3891,0,-13.2813,3.84,100,1,5.5,0,-7.1098,0,91.4,14.01,7.2549,9.41177,9.41177,0,0,14.16,104,1534.5,0,0,11.7647,1,1,0,1,0,0,.547801
41,3184297.250,15.3891,0,-13.2813,3.84,100,1,3.5,0,-6.96471,0,91.4,14.58,7.4,9.41177,9.41177,0,0,14.16,104,1479.5,0,0,11.7647,1,1,0,1,0,0,.591281
42,3184297.500,15.1594,0,-13.2813,3.84,100,1,4.5,0,-6.96471,0,91.4,14.38,7.4,9.41177,9.41177,0,0,14.16,104,1461.75,0,0,11.7647,1,1,0,1,0,0,.590251
43,3184297.750,15.2742,0,-13.2813,3.84,100,1,3,0,-6.81961,0,91.4,14.51,7.5451,9.41177,9.41177,0,0,14.16,104,1477.25,0,0,11.7647,1,1,0,1,0,0,.589338
44,3184298.000,15.1594,0,-13.2813,3.84,100,1,2.5,0,-6.81961,0,91.4,14.9,7.5451,9.41177,9.41177,0,0,14.08,104,1495,0,0,12.1569,1,1,0,1,0,0,.597993
45,3184298.250,15.2742,0,-13.2813,3.84,100,1,2.5,0,-6.81961,0,91.4,14.97,7.5451,9.41177,9.41177,0,0,14.08,104,1493.5,0,0,12.1569,1,1,0,1,0,0,.601406
46,3184298.500,15.1594,0,-13.2813,3.84,100,1,1.5,0,-6.81961,0,91.4,14.38,7.5451,9.41177,9.41177,0,0,13.84,104,1499.25,0,0,12.1569,1,1,0,1,0,0,.575488
47,3184298.750,15.0445,0,-13.2813,4.096,100,1,1.5,0,-6.81961,0,91.4,15.03,7.5451,9.41177,9.41177,0,0,13.84,104,1490.5,0,0,12.1569,1,1,0,1,0,0,.605032
48,3184299.000,15.1594,0,-13.2813,4.096,100,1,1,0,-6.67451,0,91.4,14.9,7.6902,9.41177,9.41177,0,0,13.92,104,1503.25,0,0,12.1569,1,1,0,1,0,0,.594711
49,3184299.250,15.1594,0,-13.2813,4.096,100,1,1.5,0,-6.67451,0,91.4,15.03,7.6902,9.41177,9.41177,0,0,13.92,104,1501,0,0,12.1569,1,1,0,1,0,0,.600799
50,3184299.500,15.2742,0,-13.2813,4.096,100,1,1.5,0,-6.52941,0,91.4,15.68,7.83529,9.41177,9.41177,0,0,13.92,104,1504.75,0,0,12.1569,1,1,0,1,0,0,.62522
51,3184299.750,15.5039,0,-13.2813,4.096,100,1,-.5,0,-6.52941,0,91.4,15.68,7.83529,9.41177,9.41177,0,0,13.92,104,1501.75,0,0,12.1569,1,1,0,1,0,0,.626469
52,3184300.000,15.5039,0,-13.2813,4.096,100,1,-.5,0,-6.52941,0,91.4,15.36,7.83529,9.41177,9.41177,0,0,14,104,1513.25,0,0,12.1569,1,1,0,1,0,0,.60902
53,3184300.250,15.3891,0,-13.2813,4.096,100,1,-1.5,0,-6.52941,0,91.4,15.42,7.98039,9.41177,9.41177,0,0,14,104,1523.5,0,0,12.1569,1,1,0,1,0,0,.607286
54,3184300.500,15.2742,0,-13.2813,4.352,100,1,-2.5,0,-6.38431,0,93.2,15.94,7.98039,9.41177,9.41177,0,0,14.08,104,1519,0,0,12.549,1,1,0,1,0,0,.629625
55,3184300.750,15.2742,0,-13.2813,4.352,100,1,-2.5,0,-6.38431,0,93.2,15.74,7.98039,9.41177,9.41177,0,0,14.08,104,1523.5,0,0,12.1569,1,1,0,1,0,0,.619888
56,3184301.000,15.1594,0,-13.2813,4.352,100,1,-1.5,0,-6.38431,0,93.2,15.87,7.98039,9.41177,9.41177,0,0,14.16,104,1528.75,0,0,12.1569,1,1,0,1,0,0,.622862
57,3184301.250,15.1594,0,-13.2813,4.352,100,1,-2,0,-6.38431,0,93.2,15.87,7.98039,9.41177,9.41177,0,0,14.16,104,1523,0,0,12.1569,1,1,0,1,0,0,.625213
58,3184301.500,15.0445,0,-13.2813,4.352,100,1,-1,0,-6.38431,0,93.2,15.87,7.98039,9.41177,9.41177,0,0,14.08,104,1535.5,0,0,12.1569,1,1,0,1,0,0,.620124
59,3184301.750,15.0445,0,-13.2813,4.352,100,1,-1.5,0,-6.38431,0,93.2,15.42,7.98039,9.41177,9.41177,0,0,14.08,104,1527.25,0,0,12.1569,1,1,0,1,0,0,.605795
60,3184302.000,14.9297,0,-13.2813,4.352,100,1,-3,0,-6.52941,0,93.2,15.94,7.83529,9.41177,9.41177,0,0,14.16,104,1547,0,0,12.1569,1,1,0,1,0,0,.618229
61,3184302.250,14.7,0,-13.2813,4.352,100,1,-1,0,-6.52941,0,93.2,15.81,7.83529,9.41177,9.41177,0,0,14.16,104,1544.5,0,0,12.1569,1,1,0,1,0,0,.614179
62,3184302.500,14.7,0,-13.2813,4.352,100,1,-1,0,-6.52941,0,93.2,15.68,7.83529,9.41177,9.41177,0,0,14.08,104,1533.5,0,0,12.1569,1,1,0,1,0,0,.613498
63,3184302.750,14.7,0,-13.2813,4.352,100,1,-.5,0,-6.52941,0,93.2,15.62,7.83529,9.41177,9.41177,0,0,14.08,104,1546.75,0,0,12.1569,1,1,0,1,0,0,.605916
64,3184303.000,14.4703,0,-13.2813,4.352,100,1,-2.5,0,-6.52941,0,93.2,15.88,7.83529,9.41177,9.41177,0,0,14.08,104,1547.5,0,0,12.1569,1,1,0,1,0,0,.615703
65,3184303.250,14.4703,0,-13.2813,4.352,100,1,-1.5,0,-6.52941,0,93.2,15.62,7.83529,9.41177,9.41177,0,0,14.08,104,1555.5,0,0,12.1569,1,1,0,1,0,0,.602507
66,3184303.500,14.5852,0,-13.2813,4.096,100,1,-2,0,-6.67451,0,93.2,15.49,7.6902,9.41177,9.41177,0,0,14,104,1551,0,0,12.1569,1,1,0,1,0,0,.599226
67,3184303.750,14.4703,0,-13.2813,4.096,100,1,-1,0,-6.67451,0,93.2,15.36,7.6902,9.41177,9.41177,0,0,14,104,1547.25,0,0,12.1569,1,1,0,1,0,0,.595637
68,3184304.000,14.4703,0,-13.2813,4.352,100,1,0,0,-6.67451,0,93.2,15.29,7.6902,9.41177,9.41177,0,0,14,104,1540.25,0,0,12.1569,1,1,0,1,0,0,.595618
69,3184304.250,14.2406,0,-13.2813,4.352,100,1,-2,0,-6.67451,0,93.2,15.42,7.6902,9.41177,9.41177,0,0,14,104,1550.75,0,0,12.1569,1,1,0,1,0,0,.596615
70,3184304.500,14.3555,0,-13.2813,4.096,100,1,-1.5,0,-6.67451,0,93.2,15.16,7.6902,9.41177,9.41177,0,0,14.16,104,1553.75,0,0,12.1569,1,1,0,1,0,0,.585422
71,3184304.750,14.1258,0,-13.2813,4.096,100,1,-.5,0,-6.81961,0,93.2,15.29,7.5451,9.41177,9.41177,0,0,14.16,104,1540.5,0,0,12.1569,1,1,0,1,0,0,.595521
72,3184305.000,14.1258,0,-13.2813,4.352,100,1,-1,0,-6.67451,0,93.2,15.1,7.6902,9.41177,9.41177,0,0,14.08,104,1559,0,0,12.1569,1,1,0,1,0,0,.581142
73,3184305.250,14.0109,0,-13.2813,4.352,100,1,-2,0,-6.81961,0,93.2,14.84,7.5451,9.41177,9.41177,0,0,14.08,104,1556,0,0,12.1569,1,1,0,1,0,0,.572236
74,3184305.500,14.2406,0,-13.2813,4.352,100,1,-.5,0,-6.81961,0,93.2,15.16,7.5451,9.41177,9.41177,0,0,14.08,104,1555.75,0,0,12.1569,1,1,0,1,0,0,.58467
75,3184305.750,14.1258,0,-13.2813,4.352,100,1,-1,0,-6.81961,0,93.2,14.97,7.5451,9.41177,9.41177,0,0,14.08,104,1542.25,0,0,12.1569,1,1,0,1,0,0,.582396
76,3184306.000,14.0109,0,-13.2813,4.352,100,1,-.5,0,-6.81961,0,93.2,15.1,7.5451,9.41177,9.41177,0,0,14.16,104,1553.75,0,0,12.1569,1,1,0,1,0,0,.583105
77,3184306.250,13.6664,0,-13.2813,4.096,100,1,-2,0,-6.81961,0,93.2,14.64,7.5451,9.41177,9.41177,0,0,14.16,104,1555.5,0,0,11.7647,1,1,0,1,0,0,.564706
78,3184306.500,14.0109,0,-13.2813,4.096,100,1,0,0,-6.81961,0,93.2,14.77,7.5451,9.41177,9.41177,0,0,14.08,104,1554,0,0,11.7647,1,1,0,1,0,0,.57027
79,3184306.750,14.0109,0,-13.2813,4.096,100,1,-1.5,0,-6.96471,0,93.2,14.71,7.4,9.41177,9.41177,0,0,14.08,104,1554.75,0,0,11.7647,1,1,0,1,0,0,.56768
80,3184307.000,13.6664,0,-13.2813,3.84,100,1,-1,0,-6.96471,0,93.2,14.32,7.4,9.41177,9.41177,0,0,14.08,104,1575.5,0,0,11.7647,1,1,0,1,0,0,.545351
81,3184307.250,12.7477,0,-13.2813,3.328,100,1,-1.5,0,-7.2549,0,93.2,14.38,7.1098,9.41177,9.41177,0,0,14.08,104,1557,0,0,11.7647,1,1,0,1,0,0,.554143
82,3184307.500,13.3219,0,-13.2813,3.328,100,1,1,0,-7.2549,0,93.2,14.38,7.1098,9.41177,9.41177,0,0,14.08,104,1546.25,0,0,11.7647,1,1,0,1,0,0,.557995
83,3184307.750,13.7813,0,-13.2813,3.328,100,1,1,0,-7.1098,0,93.2,14.58,7.2549,9.41177,9.41177,0,0,14.08,104,1522.25,0,0,11.7647,1,1,0,1,0,0,.574676
84,3184308.000,14.0109,0,-13.2813,3.328,100,1,1.5,0,-7.1098,0,93.2,14.45,7.2549,9.41177,9.41177,0,0,14.16,104,1521,0,0,11.3725,1,1,0,1,0,0,.57002
85,3184308.250,14.0109,0,-13.2813,3.328,100,1,2.5,0,-7.1098,0,93.2,14.09,7.2549,9.41177,9.41177,0,0,14.16,104,1510.25,0,0,11.3725,1,1,0,1,0,0,.559775
86,3184308.500,14.1258,0,-13.2813,3.328,100,1,1.5,0,-7.1098,0,93.2,14.02,7.2549,9.41177,9.41177,0,0,14.24,104,1494.25,0,0,11.7647,1,1,0,1,0,0,.562958
87,3184308.750,14.2406,0,-13.2813,3.328,100,1,.5,0,-7.1098,0,93.2,13.81,7.2549,9.41177,9.41177,0,0,14.24,104,1487.75,0,0,11.3725,1,1,0,1,0,0,.556948
88,3184309.000,14.2406,0,-13.2813,3.328,100,1,1.5,0,-7.1098,0,93.2,13.81,7.2549,9.41177,9.41177,0,0,14.24,105.8,1485,0,0,11.3725,1,1,0,1,0,0,.55798
89,3184309.250,14.3555,0,-13.2813,3.328,100,1,2,0,-7.1098,0,93.2,13.99,7.2549,9.41177,9.41177,0,0,14.24,105.8,1473.5,0,0,11.3725,1,1,0,1,0,0,.569664
90,3184309.500,14.3555,0,-13.2813,3.328,100,1,2,0,-7.1098,0,93.2,13.88,7.2549,9.41177,9.41177,0,0,14.24,105.8,1459.75,0,0,11.3725,1,1,0,1,0,0,.570509
91,3184309.750,14.4703,0,-13.2813,3.328,100,1,1.5,0,-7.1098,0,93.2,13.99,7.2549,9.41177,9.41177,0,0,14.24,105.8,1444.5,0,0,11.3725,1,1,0,1,0,0,.581101
92,3184310.000,14.5852,0,-13.2813,3.328,100,1,1.5,0,-6.96471,0,93.2,14.02,7.4,9.41177,9.41177,0,0,14,105.8,1435,0,0,11.7647,1,1,0,1,0,0,.586202
93,3184310.250,14.5852,0,-13.2813,3.328,100,1,1.5,0,-6.81961,0,93.2,14.02,7.5451,9.41177,9.41177,0,0,14,105.8,1432,0,0,11.7647,1,1,0,1,0,0,.58743
94,3184310.500,14.7,0,-13.2813,3.584,100,1,.5,0,-6.81961,0,93.2,14.11,7.5451,9.41177,9.41177,0,0,14.08,105.8,1436.75,0,0,11.7647,1,1,0,1,0,0,.589247
95,3184310.750,14.8148,0,-13.2813,3.584,100,1,1,0,-6.67451,0,93.2,14.15,7.6902,9.41177,9.41177,0,0,14.08,105.8,1432.25,0,0,11.7647,1,1,0,1,0,0,.592774
96,3184311.000,14.8148,.78125,-13.2813,3.584,100,1,.5,0,-6.52941,0,93.2,14.15,7.83529,9.41177,9.41177,0,0,14.16,105.8,1417.25,0,0,11.7647,1,1,0,1,0,0,.599047
97,3184311.250,14.9297,.78125,-13.2813,3.584,100,1,.5,0,-6.52941,0,93.2,14.58,7.83529,9.41177,9.41177,0,0,14.16,105.8,1421.5,0,0,11.7647,1,1,0,1,0,0,.615406
98,3184311.500,14.8148,1.5625,-13.2813,3.584,100,1,-.5,0,-6.38431,0,93.2,14.64,7.98039,9.41177,9.41177,0,0,14.16,105.8,1431.75,0,0,11.7647,1,1,0,1,0,0,.613515
