Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
44,1.00,0.75,-0.3,-12.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,0.0,1.3,71,0.00,1.58,0.00,0,0.0,0.82,0.78,0.0,7.1,13.0,0.0
101,1.00,0.75,-0.3,-12.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,1.0,6.1,71,0.56,1.76,0.00,188,0.0,0.82,0.78,0.0,7.1,13.0,0.0
205,1.00,0.52,-0.5,-12.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,1.1,6.1,71,0.48,1.76,0.00,222,0.0,0.82,0.78,0.0,7.1,13.0,0.0
310,1.00,0.52,-0.6,-12.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,1.9,5.6,71,0.41,2.77,0.00,408,0.0,0.82,0.78,0.0,7.1,20.0,0.0
408,1.38,0.52,-1.5,-12.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.4,4.4,71,0.27,4.12,0.00,922,0.0,0.82,0.78,0.0,7.1,20.0,0.0
509,1.38,0.52,-4.4,-11.7,177,0.00,0.00,-0.0,-6.59,100.0,1.000,4.0,3.6,71,0.25,5.41,0.00,1320,0.0,0.82,0.76,0.0,7.1,20.0,0.0
612,1.38,0.52,-6.6,-11.1,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.8,3.1,71,0.24,5.75,0.00,1459,0.0,0.82,0.78,0.0,7.1,20.0,0.0
714,1.23,0.54,-7.7,-11.1,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.9,2.8,71,0.20,5.55,0.00,1665,0.0,0.82,0.78,0.0,7.1,18.0,0.0
816,1.16,0.55,-8.7,-11.0,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.8,2.6,71,0.20,5.95,0.00,1752,0.0,0.82,0.78,0.0,7.1,16.0,0.0
917,1.07,0.60,-9.5,-11.0,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.4,2.3,71,0.21,6.15,0.00,1788,0.0,0.82,0.78,0.0,7.1,14.0,0.0
1020,0.98,0.62,-10.0,-10.9,177,0.00,0.00,-0.0,-6.59,100.0,1.000,3.4,2.3,71,0.21,6.29,0.00,1778,0.0,0.82,0.78,0.0,7.1,12.0,0.0
