sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,508040.000,14.7,0,-4.6875,3.328,100,1,21,0,-5.80392,0,105.8,4.68,8.27059,9.41177,9.41177,0,0,11.04,170.6,1305,0,0,6.66667,1,0,0,1,1,0,.215172
1,508040.250,14.7,0,-4.6875,2.304,100,1,19,0,-9.57647,0,105.8,4.99,4.93333,9.41177,9.41177,0,0,13.68,170.6,1588.25,0,0,6.66667,1,0,0,0,1,0,.188509
2,508040.500,14.7,0,-4.6875,2.048,100,1,14.5,0,-10.5922,0,105.8,5.28,3.91765,9.41177,9.41177,0,0,13.68,170.6,1431,0,0,6.66667,1,0,0,0,1,0,.221384
3,508040.750,14.7,0,-4.6875,2.048,100,1,13,0,-10.7373,0,105.8,5.05,3.91765,9.41177,9.41177,0,0,14,170.6,1249.75,0,0,6.66667,1,0,0,0,1,0,.242448
4,508041.000,14.7,0,-4.6875,2.304,100,1,13,0,-10.5922,0,105.8,5.08,4.06275,9.41177,9.41177,0,0,14,170.6,1027.75,0,0,6.66667,1,1,0,1,1,0,.29657
5,508041.250,14.7,0,-4.6875,2.56,100,1,12.5,0,-10.0118,0,105.8,5.05,4.49804,9.41177,9.41177,0,0,13.92,170.6,807.75,0,0,6.66667,1,1,0,1,1,0,.375116
6,508041.500,14.7,0,-4.6875,2.816,100,1,12.5,0,-9.43137,0,105.8,4.87,5.22353,9.41177,9.41177,0,0,13.92,170.6,719.5,0,0,6.27451,1,1,0,1,1,0,.406115
7,508041.750,14.7,0,-4.6875,3.072,100,1,12.5,0,-8.99608,0,105.8,4.54,5.65882,9.41177,9.41177,0,0,14,170.6,713.25,0,0,6.27451,1,1,0,1,1,0,.381914
8,508042.000,14.7,0,-4.6875,2.816,100,1,12.5,0,-8.85098,0,105.8,4.62,5.65882,9.41177,9.41177,0,0,14,170.6,757.5,0,0,6.27451,1,1,0,1,1,0,.365941
9,508042.250,14.7,0,-4.6875,2.816,100,1,12.5,0,-8.99608,0,105.8,4.53,5.65882,9.41177,9.41177,0,0,14,170.6,813.5,0,0,6.27451,1,1,0,1,1,0,.334112
10,508042.500,14.7,0,-4.6875,2.56,100,1,12.5,0,-9.14118,0,105.8,4.45,5.36863,9.41177,9.41177,0,0,14,170.6,823,0,0,6.27451,1,1,0,1,1,0,.324423
11,508042.750,14.7,0,-4.6875,2.56,100,1,12.5,0,-9.28627,0,104,4.33,5.22353,9.41177,9.41177,0,0,13.92,170.6,830.25,0,0,6.27451,1,1,0,1,1,0,.312918
12,508043.000,14.7,0,-4.6875,2.56,100,1,12.5,0,-9.43137,0,104,4.25,5.07843,9.41177,9.41177,0,0,13.92,170.6,805.25,0,0,6.27451,1,1,0,1,1,0,.316672
13,508043.250,14.7,0,-4.6875,2.56,100,1,13,0,-9.43137,0,104,4.19,5.07843,9.41177,9.41177,0,0,14,170.6,768.5,0,0,5.88235,1,1,0,1,1,0,.327131
14,508043.500,14.7,0,-4.6875,2.56,100,1,13,0,-9.28627,0,104,4.98,5.36863,9.41177,9.41177,0,0,14,170.6,734,0,0,7.05882,1,1,0,1,1,0,.407084
15,508043.750,14.7,0,-4.6875,3.072,100,1,13,0,-8.56078,0,104,5.31,5.94902,9.41177,9.41177,0,0,14,170.6,735,0,0,7.05882,1,1,0,1,1,0,.433469
16,508044.000,14.7,0,-4.6875,2.816,100,1,13,0,-8.41569,0,104,4.96,6.09412,9.41177,9.41177,0,0,14,170.6,814.5,0,0,6.66667,1,1,0,1,1,0,.365378
17,508044.250,14.7,0,-4.6875,2.816,100,1,13,0,-8.70588,0,104,4.99,5.94902,9.41177,9.41177,0,0,14,170.6,824,0,0,6.66667,1,1,0,1,1,0,.363349
18,508044.500,14.7,0,-4.6875,2.816,100,1,13,0,-8.85098,0,104,4.81,5.80392,9.41177,9.41177,0,0,14,170.6,818.5,0,0,6.66667,1,1,0,1,1,0,.352596
19,508044.750,14.7,0,-4.6875,2.816,100,1,13,0,-8.85098,0,104,4.9,5.80392,9.41177,9.41177,0,0,14,170.6,813.75,0,0,6.66667,1,1,0,1,1,0,.36129
20,508045.000,14.5852,0,-4.6875,2.816,100,1,13,0,-8.85098,0,104,4.96,5.80392,9.41177,9.41177,0,0,14,170.6,791.25,0,0,6.66667,1,1,0,1,1,0,.376114
21,508045.250,14.5852,0,-4.6875,2.816,100,1,16,0,-8.70588,0,104,4.86,5.80392,9.41177,9.41177,0,0,13.84,170.6,782,0,0,6.27451,1,1,0,1,1,0,.37289
22,508045.500,14.5852,0,-4.6875,2.816,100,1,13.5,0,-8.85098,0,104,4.78,5.80392,9.41177,9.41177,0,0,13.84,170.6,795.5,0,0,6.27451,1,1,0,1,1,0,.360528
23,508045.750,14.5852,0,-4.6875,2.56,100,1,12.5,0,-8.85098,0,102.2,4.71,5.80392,9.41177,9.41177,0,0,14,170.6,798.75,0,0,6.27451,1,1,0,1,1,0,.353803
24,508046.000,14.4703,0,-4.6875,2.56,100,1,15.5,0,-8.85098,0,102.2,4.78,5.65882,9.41177,9.41177,0,0,14,170.6,774.5,0,0,6.27451,1,1,0,1,1,1,.370303
25,508046.250,14.4703,0,-4.6875,2.56,100,1,17,0,-8.85098,0,102.2,4.65,5.65882,9.41177,9.41177,0,0,14,170.6,778,0,0,6.27451,1,1,0,1,1,1,.358612
26,508046.500,14.3555,0,-4.6875,2.56,100,1,16.5,0,-8.85098,0,102.2,4.69,5.80392,9.41177,9.41177,0,0,14,170.6,779.75,0,0,6.27451,1,1,0,1,1,1,.360885
27,508046.750,14.3555,0,-4.6875,2.56,100,1,15,0,-8.85098,0,102.2,4.65,5.65882,9.41177,9.41177,0,0,14,170.6,770,0,0,6.27451,1,1,0,1,1,1,.362338
28,508047.000,14.2406,0,-4.6875,2.56,100,1,16.5,0,-8.85098,0,102.2,4.59,5.80392,9.41177,9.41177,0,0,14,170.6,759.25,0,0,6.27451,1,1,0,1,1,1,.362726
29,508047.250,14.1258,0,-4.6875,2.56,100,1,16.5,0,-8.85098,0,102.2,4.57,5.80392,9.41177,9.41177,0,0,13.92,170.6,767,0,0,6.27451,1,1,0,1,1,1,.357497
30,508047.500,14.0109,0,-4.6875,2.816,100,1,16.5,0,-8.85098,0,102.2,4.65,5.80392,9.41177,9.41177,0,0,13.92,170.6,763.25,0,0,6.27451,1,1,0,1,1,1,.365542
31,508047.750,13.8961,0,-4.6875,2.816,100,1,17,0,-8.70588,0,102.2,4.53,5.80392,9.41177,9.41177,0,0,14.08,170.6,748.75,0,0,6.27451,1,1,0,1,1,1,.363005
32,508048.000,13.8961,0,-4.6875,2.56,100,1,16,0,-8.70588,0,102.2,4.59,5.80392,9.41177,9.41177,0,0,14.08,170.6,743.75,0,0,6.27451,1,1,0,1,1,1,.370286
33,508048.250,13.7813,0,-4.6875,2.816,100,1,15,0,-8.70588,0,102.2,4.78,5.94902,9.41177,9.41177,0,0,13.92,170.6,743.25,0,0,6.27451,1,1,0,1,1,1,.385873
34,508048.500,13.7813,0,-4.6875,2.816,100,1,14.5,0,-8.56078,0,102.2,4.78,5.94902,9.41177,9.41177,0,0,13.92,170.6,741.25,0,0,6.66667,1,1,0,1,1,1,.386914
35,508048.750,13.7813,0,-4.6875,2.816,100,1,14.5,0,-8.56078,0,102.2,4.75,6.09412,9.41177,9.41177,0,0,14,170.6,749.25,0,0,6.66667,1,1,0,1,1,1,.38038
36,508049.000,13.8961,0,-4.6875,2.816,100,1,12.5,0,-8.56078,0,102.2,4.99,6.09412,9.41177,9.41177,0,0,14,170.6,769,0,0,6.66667,1,1,0,1,1,1,.389337
37,508049.250,13.8961,0,-4.6875,2.816,100,1,13,0,-8.56078,0,102.2,4.9,6.09412,9.41177,9.41177,0,0,13.84,170.6,773.75,0,0,6.66667,1,1,0,1,1,1,.379968
38,508049.500,13.8961,0,-4.6875,2.816,100,1,13.5,0,-8.56078,0,100.4,4.93,6.09412,9.41177,9.41177,0,0,13.84,170.6,769.25,0,0,6.66667,1,1,0,1,1,1,.38453
39,508049.750,14.0109,0,-4.6875,2.816,100,1,11,0,-8.56078,0,100.4,4.93,6.09412,9.41177,9.41177,0,0,14,170.6,777.75,0,0,6.66667,1,1,0,1,1,1,.380328
40,508050.000,14.0109,0,-4.6875,2.816,100,1,12.5,0,-8.56078,0,100.4,5.1,6.09412,9.41177,9.41177,0,0,14,170.6,777,0,0,6.66667,1,1,0,1,1,1,.393822
41,508050.250,14.1258,0,-4.6875,2.816,100,1,13.5,0,-8.56078,0,100.4,5.02,6.09412,9.41177,9.41177,0,0,13.92,170.6,786,0,0,6.66667,1,1,0,1,1,1,.383206
42,508050.500,14.2406,0,-4.6875,2.816,100,1,12.5,0,-8.56078,0,100.4,4.99,6.09412,9.41177,9.41177,0,0,13.92,170.6,786.75,0,0,6.66667,1,1,0,1,1,1,.380553
43,508050.750,14.3555,0,-4.6875,2.816,100,1,12.5,0,-8.56078,0,100.4,5.02,6.09412,9.41177,9.41177,0,0,13.92,170.6,788,0,0,6.66667,1,1,0,1,1,1,.382234
44,508051.000,14.5852,0,-4.6875,2.816,100,1,14.5,0,-8.56078,0,100.4,5.12,6.09412,9.41177,9.41177,0,0,13.92,170.6,785,0,0,6.66667,1,1,0,1,1,1,.391338
45,508051.250,14.7,0,-4.6875,2.816,100,1,14.5,0,-8.41569,0,100.4,5.15,6.09412,9.41177,9.41177,0,0,14,170.6,792.25,0,0,6.66667,1,1,0,1,1,1,.390028
46,508051.500,14.8148,0,-4.6875,2.816,100,1,13.5,0,-8.41569,0,100.4,5.15,6.09412,9.41177,9.41177,0,0,14,170.6,799.75,0,0,6.66667,1,1,0,1,1,1,.386371
47,508051.750,15.0445,0,-4.6875,2.816,100,1,11.5,0,-8.56078,0,100.4,5.08,6.09412,9.41177,9.41177,0,0,14,170.6,807.5,0,0,6.66667,1,1,0,1,1,1,.377461
48,508052.000,15.0445,0,-4.6875,2.816,100,1,14,0,-8.56078,0,100.4,5.1,6.09412,9.41177,9.41177,0,0,14,170.6,807.25,0,0,6.66667,1,1,0,1,1,1,.379065
49,508052.250,15.2742,0,-4.6875,2.816,100,1,14.5,0,-8.56078,0,100.4,5.1,6.09412,9.41177,9.41177,0,0,13.92,170.6,798.5,0,0,6.66667,1,1,0,1,1,1,.383219
50,508052.500,15.3891,0,-4.6875,2.816,100,1,13,0,-8.56078,0,100.4,5.04,6.09412,9.41177,9.41177,0,0,13.92,170.6,782.5,0,0,6.66667,1,1,0,1,1,1,.386454
51,508052.750,15.5039,0,-4.6875,2.816,100,1,12.5,0,-8.56078,0,100.4,5.1,6.09412,9.41177,9.41177,0,0,14,170.6,800.75,0,0,6.66667,1,1,0,1,1,1,.382142
52,508053.000,15.7336,0,-4.6875,2.816,100,1,10.5,0,-8.56078,0,100.4,5.1,6.09412,9.41177,9.41177,0,0,14,170.6,818.25,0,0,6.66667,1,1,0,1,1,1,.373969
53,508053.250,15.7336,0,-4.6875,2.816,100,1,11.5,0,-8.56078,0,100.4,5.1,5.94902,9.41177,9.41177,0,0,14,170.6,809.5,0,0,6.66667,1,1,0,1,1,1,.378011
54,508053.500,15.7336,0,-4.6875,2.56,100,1,12,0,-8.56078,0,100.4,5.07,5.94902,9.41177,9.41177,0,0,14,170.6,816.5,0,0,6.66667,1,1,0,1,1,1,.372566
55,508053.750,15.8484,0,-4.6875,2.56,100,1,13.5,0,-8.56078,0,100.4,5.05,5.94902,9.41177,9.41177,0,0,13.92,170.6,794,0,0,6.66667,1,1,0,1,1,1,.381612
56,508054.000,15.8484,0,-4.6875,2.56,100,1,14.5,0,-8.56078,0,100.4,5.05,5.94902,9.41177,9.41177,0,0,13.92,170.6,801.5,0,0,6.66667,1,1,0,1,1,1,.378041
57,508054.250,15.8484,0,-4.6875,2.56,100,1,13.5,0,-8.70588,0,100.4,4.86,5.94902,9.41177,9.41177,0,0,14.08,170.6,816.75,0,0,6.66667,1,1,0,1,1,1,.357025
58,508054.500,15.8484,0,-4.6875,2.56,100,1,13.5,0,-8.70588,0,100.4,5.1,5.94902,9.41177,9.41177,0,0,14.08,170.6,812.5,0,0,6.66667,1,1,0,1,1,1,.376615
59,508054.750,15.8484,0,-4.6875,2.56,100,1,13.5,0,-8.70588,0,100.4,5.07,5.94902,9.41177,9.41177,0,0,14.08,170.6,823,0,0,6.66667,1,1,0,1,1,1,.369623
60,508055.000,15.9633,0,-4.6875,2.56,100,1,13,0,-8.70588,0,100.4,4.96,5.80392,9.41177,9.41177,0,0,14.08,170.6,818.25,0,0,6.66667,1,1,0,1,1,1,.363703
61,508055.250,15.8484,0,-4.6875,2.56,100,1,13,0,-8.70588,0,100.4,4.93,5.80392,9.41177,9.41177,0,0,14,170.6,814.75,0,0,6.66667,1,1,0,1,1,1,.363056
62,508055.500,15.9633,1.5625,-4.6875,2.56,100,1,13,0,-8.70588,0,100.4,4.9,5.80392,9.41177,9.41177,0,0,14,170.6,817.75,0,0,6.66667,1,1,0,1,1,1,.359523
63,508055.750,15.9633,0,-4.6875,2.56,100,1,12.5,0,-8.85098,0,100.4,4.9,5.80392,9.41177,9.41177,0,0,14.08,170.6,812.25,0,0,6.66667,1,1,0,1,1,1,.361958
64,508056.000,15.8484,0,-4.6875,2.56,100,1,15,0,-8.70588,0,100.4,4.96,5.80392,9.41177,9.41177,0,0,14.08,170.6,801.5,0,0,6.66667,1,1,0,1,1,1,.371304
65,508056.250,15.8484,2.34375,-4.6875,2.56,100,1,13,0,-8.70588,0,100.4,4.9,5.80392,9.41177,9.41177,0,0,14,170.6,812.75,0,0,6.66667,1,1,0,1,1,1,.361735
66,508056.500,15.8484,0,-4.6875,2.56,100,1,13,0,-8.70588,0,100.4,4.9,5.80392,9.41177,9.41177,0,0,14,170.6,819.75,0,0,6.66667,1,1,0,1,1,1,.358646
67,508056.750,15.7336,0,-4.6875,2.56,100,1,13,0,-8.85098,0,100.4,4.99,5.80392,9.41177,9.41177,0,0,14,170.6,816.25,0,0,6.66667,1,1,0,1,1,1,.366799
68,508057.000,15.7336,1.5625,-4.6875,2.56,100,1,12.5,0,-8.70588,0,100.4,5.02,5.80392,9.41177,9.41177,0,0,14,170.6,816.75,0,0,6.66667,1,1,0,1,1,1,.368779
69,508057.250,15.8484,0,-4.6875,2.56,100,1,12.5,0,-8.85098,0,100.4,4.86,5.80392,9.41177,9.41177,0,0,14,170.6,828.75,0,0,6.66667,1,1,0,1,1,1,.351855
70,508057.500,15.8484,0,-4.6875,2.56,100,1,12.5,0,-8.85098,0,100.4,4.86,5.80392,9.41177,9.41177,0,0,14,170.6,813.5,0,0,6.66667,1,1,0,1,1,1,.358451
71,508057.750,15.7336,0,-4.6875,2.56,100,1,13.5,0,-8.85098,0,100.4,4.86,5.80392,9.41177,9.41177,0,0,13.92,170.6,816,0,0,6.27451,1,1,0,1,1,1,.357353
72,508058.000,15.8484,0,-4.6875,2.56,100,1,14,0,-8.85098,0,100.4,4.93,5.80392,9.41177,9.41177,0,0,13.92,170.6,815.75,0,0,6.27451,1,1,0,1,1,1,.362611
73,508058.250,15.9633,0,-4.6875,2.56,100,1,14.5,0,-8.85098,0,100.4,4.83,5.80392,9.41177,9.41177,0,0,14,170.6,813.75,0,0,6.66667,1,1,0,1,1,1,.356129
74,508058.500,15.9633,0,-4.6875,2.56,100,1,16,0,-8.70588,0,100.4,4.86,5.80392,9.41177,9.41177,0,0,14,170.6,814.75,0,0,6.66667,1,1,0,1,1,1,.357901
75,508058.750,15.9633,0,-4.6875,2.56,100,1,16,0,-8.85098,0,100.4,4.84,5.80392,9.41177,9.41177,0,0,13.92,170.6,797.75,0,0,6.27451,1,1,0,1,1,1,.364024
76,508059.000,16.0781,0,-4.6875,2.56,100,1,15,0,-8.70588,0,100.4,4.84,5.80392,9.41177,9.41177,0,0,13.92,170.6,805,0,0,6.27451,1,1,0,1,1,1,.360745
