sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,920263.750,14.7,0,-4.6875,21.504,100,1,28,0,-2.90196,0,59,6.3,11.4627,9.41177,9.41177,0,0,11.2,60.8,1050.75,0,0,10.5882,1,0,0,0,1,0,.359743
1,920264.000,14.7,0,-5.46875,4.608,100,1,26,0,-7.2549,0,59,11.74,7.1098,9.41177,9.41177,0,0,11.2,60.8,1887,0,0,10.5882,1,0,0,0,1,0,.373291
2,920264.250,14.7,0,-6.25,4.608,100,1,18.5,0,-8.99608,0,60.8,13.43,5.36863,9.41177,9.41177,0,0,12.16,60.8,1995.25,0,0,10.9804,1,0,0,0,1,0,.403859
3,920264.500,14.7,0,-6.25,4.608,100,1,17.5,0,-9.14118,0,60.8,13.35,5.22353,9.41177,9.41177,0,0,12.16,60.8,1936,0,0,10.9804,1,1,0,0,1,0,.41374
4,920264.750,14.7,0,-7.03125,4.608,100,1,17,0,-9.14118,0,60.8,13.01,5.22353,9.41177,9.41177,0,0,12.4,60.8,1850.75,0,0,10.9804,1,1,0,1,1,0,.421775
5,920265.000,14.7,0,-7.8125,4.608,100,1,16.5,0,-9.14118,0,60.8,13.16,5.36863,9.41177,9.41177,0,0,12.4,60.8,1752.75,0,0,10.9804,1,1,0,1,1,0,.450492
6,920265.250,14.7,0,-7.8125,4.608,100,1,16,0,-8.85098,0,60.8,12.86,5.51373,9.41177,9.41177,0,0,12.64,60.8,1707,0,0,10.9804,1,1,0,1,1,0,.452021
7,920265.500,14.7,0,-8.59375,4.864,100,1,15.5,0,-8.85098,0,60.8,12.98,5.51373,9.41177,9.41177,0,0,12.64,60.8,1661.25,0,0,10.9804,1,1,0,1,1,0,.468804
8,920265.750,14.7,0,-8.59375,4.608,100,1,15,0,-8.85098,0,60.8,12.62,5.51373,9.41177,9.41177,0,0,12.72,60.8,1630.25,0,0,10.9804,1,1,0,1,1,0,.464469
9,920266.000,14.7,0,-8.59375,4.608,100,1,14.5,0,-8.70588,0,60.8,12.58,5.65882,9.41177,9.41177,0,0,12.72,60.8,1606.25,0,0,10.5882,1,1,0,1,1,0,.469914
10,920266.250,14.7,0,-10.9375,4.608,100,1,14,0,-8.56078,0,60.8,13.16,5.80392,9.41177,9.41177,0,0,12.64,60.8,1572.5,0,0,10.9804,1,1,0,1,1,0,.50213
11,920266.500,14.7,0,-10.9375,4.864,100,1,13.5,0,-8.27059,0,60.8,13.62,6.09412,9.41177,9.41177,0,0,12.64,60.8,1608.75,0,0,11.3725,1,1,0,1,1,1,.507972
12,920266.750,14.7,0,-10.9375,4.864,100,1,12.5,0,-8.12549,0,60.8,13.47,6.23922,9.41177,9.41177,0,0,12.56,60.8,1583.25,0,0,10.9804,1,1,0,1,1,1,.510469
13,920267.000,14.7,0,-10.9375,4.864,100,1,12,0,-8.12549,0,60.8,12.9,6.23922,9.41177,9.41177,0,0,12.56,60.8,1573.25,0,0,11.3725,1,1,0,1,1,1,.491975
14,920267.250,14.7,0,-10.9375,4.608,100,1,11.5,0,-8.12549,0,60.8,13.39,6.23922,9.41177,9.41177,0,0,12.48,60.8,1542,0,0,10.9804,1,1,0,1,1,1,.521012
15,920267.500,14.7,0,-10.9375,4.608,100,1,11,0,-8.12549,0,60.8,13.5,6.23922,9.41177,9.41177,0,0,12.48,60.8,1510.5,0,0,11.3725,1,1,0,1,1,1,.536246
16,920267.750,14.7,0,-10.9375,4.608,100,1,10.5,0,-7.98039,0,60.8,13.47,6.38431,9.41177,9.41177,0,0,12.48,60.8,1519.75,0,0,11.3725,1,1,0,1,1,1,.531798
17,920268.000,14.7,0,-10.9375,4.608,100,1,10.5,0,-7.98039,0,60.8,13.39,6.38431,9.41177,9.41177,0,0,12.48,60.8,1508.75,0,0,10.9804,1,1,0,1,1,1,.532494
18,920268.250,14.7,0,-10.9375,4.608,100,1,10,0,-7.98039,0,60.8,13.35,6.38431,9.41177,9.41177,0,0,12.64,60.8,1491.75,0,0,11.3725,1,1,0,1,1,1,.536953
19,920268.500,14.7,0,-10.9375,4.608,100,1,10,0,-7.98039,0,60.8,13.35,6.38431,9.41177,9.41177,0,0,12.64,60.8,1489.25,0,0,10.9804,1,1,0,1,1,1,.537855
20,920268.750,14.7,0,-10.9375,4.608,100,1,9.5,0,-7.98039,0,60.8,13.5,6.38431,9.41177,9.41177,0,0,12.56,60.8,1501.5,0,0,10.9804,1,1,0,1,1,1,.539461
21,920269.000,14.7,0,-10.9375,4.608,100,1,9,0,-7.98039,0,60.8,13.54,6.38431,9.41177,9.41177,0,0,12.56,60.8,1513.75,0,0,11.3725,1,1,0,1,1,1,.53668
22,920269.250,14.7,0,-10.9375,4.608,100,1,9,0,-7.98039,0,60.8,13.5,6.52941,9.41177,9.41177,0,0,12.8,60.8,1499.25,0,0,11.3725,1,1,0,1,1,1,.54027
23,920269.500,14.7,0,-10.9375,4.608,100,1,8.5,0,-7.83529,0,60.8,13.5,6.52941,9.41177,9.41177,0,0,12.8,60.8,1510,0,0,11.3725,1,1,0,1,1,1,.536424
24,920269.750,14.7,0,-10.9375,4.352,100,1,8.5,0,-7.98039,0,60.8,13.58,6.52941,9.41177,9.41177,0,0,12.88,60.8,1507.5,0,0,11.3725,1,1,0,1,1,1,.540497
25,920270.000,14.5852,0,-10.9375,4.608,100,1,8,0,-7.83529,0,60.8,13.69,6.52941,9.41177,9.41177,0,0,12.88,60.8,1498,0,0,11.3725,1,1,0,1,1,1,.548331
26,920270.250,14.5852,0,-10.9375,4.608,100,1,7.5,0,-7.83529,0,60.8,13.47,6.52941,9.41177,9.41177,0,0,12.96,60.8,1493.25,0,0,11.3725,1,1,0,1,1,1,.541235
27,920270.500,14.5852,0,-10.9375,4.608,100,1,7.5,0,-7.6902,0,60.8,13.69,6.67451,9.41177,9.41177,0,0,12.96,60.8,1483.5,0,0,11.3725,1,1,0,1,1,1,.553691
28,920270.750,14.5852,0,-10.9375,4.608,100,1,7,0,-7.6902,0,60.8,13.62,6.81961,9.41177,9.41177,0,0,12.8,60.8,1476.5,0,0,11.3725,1,1,0,1,1,1,.553471
29,920271.000,14.5852,0,-10.9375,4.608,100,1,7,0,-7.4,0,60.8,13.97,7.1098,9.41177,9.41177,0,0,12.8,60.8,1411.5,0,0,11.7647,1,1,0,1,1,1,.593836
30,920271.250,14.4703,0,-10.9375,4.864,100,1,7,0,-6.96471,0,60.8,13.69,7.4,9.41177,9.41177,0,0,13.04,60.8,1403,0,0,11.7647,1,1,0,1,1,1,.58546
31,920271.500,14.4703,0,-10.9375,4.864,100,1,8.5,0,-6.96471,0,60.8,14.26,7.4,9.41177,9.41177,0,0,13.04,60.8,1420.25,0,10.9804,14.5098,1,1,0,1,1,0,.602429
32,920271.750,14.4703,0,-10.9375,4.864,100,1,14.5,0,-6.23922,0,60.8,13.2,8.12549,9.41177,9.41177,0,0,13.2,60.8,1719,0,0,10.5882,1,1,0,1,1,0,.460733
33,920272.000,14.3555,0,-10.9375,3.584,100,1,19.5,0,-8.12549,0,60.8,11.74,6.09412,9.41177,9.41177,0,0,13.2,60.8,1788,0,3.52941,9.80392,1,1,0,1,1,0,.39396
34,920272.250,14.1258,0,-10.9375,4.096,100,1,32.5,0,-7.83529,0,60.8,13.46,6.52941,9.41177,9.41177,0,0,13.36,60.8,1644.75,0,0,9.41177,1,1,0,1,1,0,.491017
35,920272.500,14.1258,0,-10.1563,3.328,100,1,25.5,0,-8.70588,0,60.8,9.06,5.65882,9.41177,9.41177,0,0,13.36,60.8,1459.75,0,3.13725,9.01961,1,1,0,1,1,0,.372393
36,920272.750,14.0109,0,-10.9375,3.584,100,1,33,0,-8.41569,0,60.8,9.94,5.94902,9.41177,9.41177,0,0,13.12,60.8,1253,0,1.17647,10.9804,1,1,0,1,1,0,.475978
37,920273.000,14.0109,0,-10.9375,5.376,100,1,41.5,0,-7.1098,0,60.8,13.86,7.2549,9.41177,9.41177,0,0,13.12,60.8,1200,0,.784314,11.7647,1,1,0,1,1,0,.693
38,920273.250,14.1258,0,-10.9375,4.352,100,1,45,0,-7.2549,0,60.8,12.73,7.1098,9.41177,9.41177,0,0,13.04,60.8,1259,0,3.13725,10.9804,1,1,0,1,1,0,.606672
39,920273.500,14.0109,0,-10.9375,5.632,100,1,39,0,-6.67451,0,60.8,14.38,7.6902,9.41177,9.41177,0,0,13.04,60.8,1288.5,0,0,10.1961,1,1,0,1,1,0,.669616
40,920273.750,14.0109,0,-10.9375,5.12,100,1,41.5,0,-7.1098,0,60.8,12.72,7.2549,9.41177,9.41177,0,0,13.2,60.8,1262.5,1.24274,1.17647,9.41177,1,1,0,1,1,0,.604515
41,920274.000,13.8961,0,-10.9375,5.12,100,1,42.5,0,-6.81961,0,60.8,13.81,7.5451,9.41177,9.41177,0,0,13.2,60.8,1225.25,1.24274,5.09804,11.7647,1,1,0,1,1,0,.67627
42,920274.250,13.8961,0,-10.9375,5.12,100,1,37.5,0,-6.52941,0,60.8,14.15,7.83529,9.41177,9.41177,0,0,13.36,60.8,1441,1.86411,4.70588,11.7647,1,1,0,1,1,0,.589174
43,920274.500,13.6664,0,-10.9375,3.584,100,1,41.5,0,-7.98039,0,60.8,9.27,6.23922,9.41177,9.41177,0,0,13.36,60.8,1463.75,1.86411,5.4902,11.3725,1,1,0,1,1,0,.379983
44,920274.750,13.207,0,-10.9375,4.352,100,1,42.5,0,-7.4,0,60.8,13.66,7.1098,9.41177,9.41177,0,0,13.44,60.8,1365.5,1.86411,1.17647,9.41177,1,1,0,1,1,0,.60022
45,920275.000,13.4367,0,-10.9375,5.12,100,1,42,0,-7.1098,0,60.8,14.05,7.2549,9.41177,9.41177,0,0,13.44,60.8,1294.25,2.48548,5.88235,11.7647,1,1,0,1,1,0,.651342
46,920275.250,13.5516,0,-10.9375,4.864,100,1,38.5,0,-6.52941,0,60.8,14.19,7.83529,9.41177,9.41177,0,0,14.16,60.8,1329.75,2.48548,5.88235,11.7647,1,1,0,1,1,0,.640271
47,920275.500,13.3219,0,-10.9375,4.352,100,1,38.5,0,-6.81961,0,60.8,13.77,7.5451,9.41177,9.41177,0,0,14.16,60.8,1443.5,3.10686,5.4902,11.3725,1,1,0,1,1,0,.572359
48,920275.750,12.7477,0,-10.9375,4.096,100,1,41,0,-7.4,0,60.8,13.13,6.96471,9.41177,9.41177,0,0,14.4,62.6,1483,3.10686,1.17647,10.1961,1,1,0,1,1,0,.53122
49,920276.000,12.2883,0,-10.9375,3.584,100,1,43,0,-7.98039,0,60.8,11.95,6.38431,9.41177,9.41177,0,0,14.4,62.6,1378.5,3.72823,3.92157,10.9804,1,1,0,1,1,0,.520131
50,920276.250,11.9437,0,-10.9375,4.608,100,1,42,0,-7.2549,0,62.6,13.99,7.1098,9.41177,9.41177,0,0,14.4,62.6,1275,3.72823,5.4902,11.7647,1,1,0,1,1,0,.658353
51,920276.500,12.6328,0,-10.9375,4.352,100,1,38.5,0,-6.67451,0,62.6,13.91,7.6902,9.41177,9.41177,0,0,14.4,62.6,1284,4.3496,5.4902,11.3725,1,1,0,1,1,0,.65
52,920276.750,12.9773,0,-10.9375,4.352,100,1,38.5,0,-6.52941,0,62.6,13.73,7.83529,9.41177,9.41177,0,0,14.4,62.6,1299.75,4.3496,5.88235,11.3725,1,1,0,1,1,0,.633814
53,920277.000,13.0922,0,-10.9375,4.352,100,1,38,0,-6.52941,0,62.6,13.95,7.83529,9.41177,9.41177,0,0,14.4,62.6,1288.25,4.97097,6.27451,11.3725,1,1,0,1,1,0,.649719
54,920277.250,13.207,0,-10.9375,4.352,100,1,38,0,-6.38431,0,62.6,13.77,7.98039,9.41177,9.41177,0,0,14.32,62.6,1261,5.59234,7.05882,11.3725,1,1,0,1,1,0,.655194
55,920277.500,13.3219,0,-10.9375,4.608,100,1,37,0,-6.09412,0,62.6,13.99,8.27059,9.41177,9.41177,0,0,14.32,62.6,1190,6.21371,7.05882,11.7647,1,1,0,1,1,0,.705378
56,920277.750,13.5516,0,-10.9375,4.864,100,1,36,0,-5.94902,0,62.6,14.1,8.41569,9.41177,9.41177,0,0,14.4,62.6,1257,6.83508,8.62745,12.549,1,1,0,1,1,0,.673031
57,920278.000,13.6664,0,-10.9375,4.864,100,1,33,0,-5.65882,0,62.6,15.29,8.70588,9.41177,9.41177,0,0,14.4,62.6,1335.5,7.45645,8.23529,12.1569,1,1,0,1,1,0,.686934
58,920278.250,13.5516,0,-10.9375,4.608,100,1,34.5,0,-6.09412,0,62.6,15.55,8.27059,9.41177,9.41177,0,0,14.24,62.6,1435.5,8.07783,8.62745,12.549,1,1,0,1,1,0,.649948
