sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,3682.750,14.7,0,-4.6875,3.328,100,1,20,0,-6.81961,0,129.2,3.53,7.5451,9.41177,9.41177,0,0,10.8,176,1286,0,0,5.4902,1,0,0,1,1,0,.164697
1,3683.000,14.7,0,-4.6875,2.304,100,1,18,0,-9.86667,0,129.2,3.53,4.49804,9.41177,9.41177,0,0,13.84,176,1473.25,0,0,5.4902,1,0,0,0,1,0,.143764
2,3683.250,14.7,0,-4.6875,2.048,100,1,14,0,-10.8824,0,129.2,3.73,3.48235,9.41177,9.41177,0,0,13.84,176,1354.5,0,0,5.4902,1,0,0,0,1,0,.165227
3,3683.500,14.7,0,-4.6875,2.048,100,1,12,0,-10.8824,0,129.2,3.68,3.33726,9.41177,9.41177,0,0,13.68,177.8,1091.25,0,0,5.4902,1,0,0,0,1,0,.202337
4,3683.750,14.7,0,-4.6875,2.304,100,1,12,0,-10.7373,0,129.2,3.55,3.62745,9.41177,9.41177,0,0,13.68,177.8,876.25,0,0,5.4902,1,1,0,1,1,0,.243081
5,3684.000,14.7,0,-4.6875,2.816,100,1,12,0,-10.302,0,129.2,3.56,4.06275,9.41177,9.41177,0,0,12.56,177.8,693.25,0,0,5.4902,1,1,0,1,1,0,.308114
6,3684.250,14.7,0,-4.6875,3.328,100,1,7,0,-9.57647,0,129.2,3.63,4.78824,9.41177,9.41177,0,1,12.56,177.8,528.5,0,0,5.4902,1,1,0,1,1,0,.41211
7,3684.500,14.7,0,-4.6875,3.584,100,1,5,0,-8.99608,0,129.2,3.76,5.36863,9.41177,9.41177,0,1,12.48,177.8,487,0,0,5.4902,1,1,0,1,1,0,.463244
8,3684.750,14.7,0,-4.6875,3.84,100,1,5,0,-8.41569,0,129.2,3.68,5.94902,9.41177,9.41177,0,0,12.48,177.8,502.5,0,0,5.4902,1,1,0,1,1,0,.439403
9,3685.000,14.7,0,-4.6875,3.84,100,1,8.5,0,-8.27059,0,129.2,3.71,6.09412,9.41177,9.41177,0,0,12.56,177.8,570.5,0,0,5.4902,1,1,0,1,1,0,.390184
10,3685.250,14.7,0,-4.6875,3.584,100,1,12,0,-8.27059,0,129.2,3.71,6.09412,9.41177,9.41177,0,0,12.56,177.8,622.5,0,0,5.4902,1,1,0,1,1,0,.35759
11,3685.500,14.7,0,-4.6875,3.328,100,1,12,0,-8.56078,0,129.2,3.68,5.80392,9.41177,9.41177,0,0,12.88,177.8,678.5,0,0,5.4902,1,1,0,1,1,0,.325424
12,3685.750,14.7,0,-4.6875,3.328,100,1,12,0,-8.85098,0,129.2,3.68,5.51373,9.41177,9.41177,0,0,12.88,177.8,708.25,0,0,5.88235,1,1,0,1,1,0,.311754
13,3686.000,14.7,0,-4.6875,3.072,100,1,12,0,-8.85098,0,129.2,3.81,5.36863,9.41177,9.41177,0,0,13.2,177.8,699.25,0,0,5.88235,1,1,0,1,1,0,.326922
14,3686.250,14.7,0,-4.6875,3.072,100,1,12,0,-8.99608,0,129.2,3.84,5.36863,9.41177,9.41177,0,0,13.2,177.8,701.75,0,0,7.45098,1,1,0,1,1,0,.328322
15,3686.500,14.7,0,-4.6875,3.584,100,1,12,0,-8.12549,0,129.2,5.59,6.23922,9.41177,9.41177,0,0,13.68,177.8,758.25,0,0,7.45098,1,1,0,1,1,0,.442334
16,3686.750,14.7,0,-4.6875,3.584,100,1,11.5,0,-7.98039,0,129.2,5.53,6.38431,9.41177,9.41177,0,0,13.68,177.8,866.75,0,0,7.05882,1,1,0,1,1,0,.382809
17,3687.000,14.7,0,-4.6875,3.328,100,1,12,0,-8.41569,0,127.4,5.37,5.94902,9.41177,9.41177,0,0,13.52,177.8,952.5,0,0,7.05882,1,1,0,1,1,0,.338268
18,3687.250,14.7,0,-4.6875,3.072,100,1,12,0,-8.85098,0,127.4,5.33,5.51373,9.41177,9.41177,0,0,13.52,177.8,974.75,0,0,7.05882,1,1,0,1,1,0,.328084
19,3687.500,14.7,0,-4.6875,3.072,100,1,12,0,-9.14118,0,127.4,5.15,5.22353,9.41177,9.41177,0,0,13.84,177.8,966.25,0,0,6.66667,1,1,0,1,1,0,.319793
20,3687.750,14.7,0,-4.6875,3.072,100,1,6.5,0,-9.14118,0,127.4,5.15,5.22353,9.41177,9.41177,0,0,13.84,177.8,900.5,0,0,6.66667,1,1,0,1,1,0,.343143
21,3688.000,14.5852,0,-4.6875,3.072,100,1,12.5,0,-8.99608,0,127.4,5.17,5.36863,9.41177,9.41177,0,0,13.76,177.8,854.25,0,0,6.66667,1,1,0,1,1,0,.363126
22,3688.250,14.5852,0,-4.6875,3.072,100,1,12.5,0,-8.85098,0,127.4,5.12,5.51373,9.41177,9.41177,0,0,13.76,177.8,840.25,0,0,6.66667,1,1,0,1,1,0,.365605
23,3688.500,14.5852,0,-4.6875,3.328,100,1,13.5,0,-8.70588,0,127.4,4.93,5.51373,9.41177,9.41177,0,0,13.76,177.8,841.25,0,0,6.66667,1,1,0,1,1,0,.35162
24,3688.750,14.4703,0,-4.6875,3.072,100,1,14,0,-8.85098,0,127.4,4.9,5.51373,9.41177,9.41177,0,0,13.76,177.8,822.25,0,0,6.66667,1,1,0,1,1,0,.357555
25,3689.000,14.4703,0,-4.6875,3.072,100,1,14.5,0,-8.85098,0,127.4,4.84,5.51373,9.41177,9.41177,0,0,13.68,177.8,829.75,0,0,6.66667,1,1,0,1,1,0,.349985
26,3689.250,14.3555,0,-4.6875,3.072,100,1,13.5,0,-8.85098,0,127.4,4.84,5.51373,9.41177,9.41177,0,0,13.68,177.8,827.5,0,0,6.27451,1,1,0,1,1,0,.350937
27,3689.500,14.3555,0,-4.6875,3.072,100,1,15,0,-8.85098,0,127.4,4.69,5.51373,9.41177,9.41177,0,0,13.84,177.8,807.75,0,0,6.27451,1,1,0,1,1,0,.348375
28,3689.750,14.2406,0,-4.6875,3.072,100,1,15,0,-8.85098,0,127.4,4.69,5.51373,9.41177,9.41177,0,0,13.84,177.8,816,0,0,6.27451,1,1,0,1,1,0,.344853
29,3690.000,14.1258,0,-4.6875,3.072,100,1,14,0,-8.85098,0,127.4,4.71,5.51373,9.41177,9.41177,0,0,13.76,177.8,802.75,0,0,6.27451,1,1,0,1,1,0,.35204
30,3690.250,14.0109,0,-4.6875,3.072,100,1,15.5,0,-8.85098,0,127.4,4.53,5.51373,9.41177,9.41177,0,0,13.76,177.8,795.75,0,0,6.27451,1,1,0,1,1,0,.341565
31,3690.500,13.8961,0,-4.6875,3.072,100,1,15.5,0,-8.85098,0,127.4,4.5,5.51373,9.41177,9.41177,0,0,13.92,177.8,796.5,0,0,6.27451,1,1,0,1,1,0,.338983
32,3690.750,13.6664,0,-4.6875,3.072,100,1,15,0,-8.85098,0,127.4,4.53,5.51373,9.41177,9.41177,0,0,13.92,177.8,779,0,0,6.27451,1,1,0,1,1,0,.348909
33,3691.000,13.5516,0,-4.6875,3.072,100,1,14.5,0,-8.85098,0,127.4,4.5,5.51373,9.41177,9.41177,0,0,13.92,176,786.5,0,0,6.27451,1,1,0,1,1,0,.343293
