sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,519.500,14.7,0,-2.34375,3.584,100,.8125,20,0,-5.51373,0,93.2,4.48,8.70588,9.41177,9.41177,0,0,13.84,185,1213.75,0,0,6.66667,1,0,0,0,1,0,.221462
1,519.750,14.7,0,-2.34375,2.816,100,.8125,18,0,-8.99608,0,93.2,4.86,5.07843,9.41177,9.41177,0,0,13.84,185,1634,0,0,6.66667,1,0,0,0,1,0,.178458
2,520.000,14.7,0,-2.34375,2.304,100,.8125,13.5,0,-10.4471,0,93.2,5.17,3.91765,9.41177,9.41177,0,0,14,185,1613.75,0,0,6.66667,1,0,0,0,1,0,.192223
3,520.250,14.7,0,-2.34375,2.304,100,.8125,12,0,-10.7373,0,93.2,4.96,3.62745,9.41177,9.41177,0,0,14,185,1503.25,0,0,6.66667,1,1,0,0,1,0,.197971
4,520.500,14.7,0,-2.34375,2.304,100,.8125,12,0,-10.7373,0,93.2,5.05,3.62745,9.41177,9.41177,0,0,13.84,185,1362.5,0,0,6.66667,1,1,0,0,1,0,.222385
5,520.750,14.7,0,-2.34375,2.56,100,.8125,12,0,-10.4471,0,93.2,5.05,3.77255,9.41177,9.41177,0,0,13.84,185,1236,0,0,6.66667,1,1,0,0,1,0,.245146
6,521.000,14.7,0,-2.34375,2.56,100,.8125,12,0,-10.302,0,93.2,4.99,4.06275,9.41177,9.41177,0,0,13.92,185,1148.25,0,0,6.27451,1,1,0,1,1,0,.260745
7,521.250,14.7,0,-2.34375,2.56,100,.8125,12,0,-10.1569,0,93.2,4.8,4.06275,9.41177,9.41177,0,0,13.92,185,1080,0,0,6.27451,1,1,0,1,1,0,.266667
8,521.500,14.7,0,-2.34375,2.56,100,.8125,12,0,-10.0118,0,93.2,4.62,4.20784,9.41177,9.41177,0,0,13.92,185,1048,0,0,6.27451,1,1,0,1,1,0,.264504
9,521.750,14.7,0,-2.34375,2.56,100,.8125,12,0,-10.0118,0,93.2,4.42,4.35294,9.41177,9.41177,0,0,13.92,185,1002.25,0,0,6.27451,1,1,0,1,1,0,.264605
10,522.000,14.7,0,-2.34375,2.56,100,.8125,12,0,-9.86667,0,93.2,4.63,4.35294,9.41177,9.41177,0,0,14,185,972,0,0,6.66667,1,1,0,1,1,0,.285802
11,522.250,14.7,0,-2.34375,2.816,100,.8125,12,0,-9.72157,0,93.2,4.96,4.64314,9.41177,9.41177,0,0,14,185,968,0,0,6.66667,1,1,0,1,1,0,.307438
12,522.500,14.7,0,-2.34375,2.816,100,.8125,12,0,-9.57647,0,93.2,4.96,4.78824,9.41177,9.41177,0,0,13.92,185,947,0,0,6.27451,1,1,0,1,1,0,.314256
13,522.750,14.7,0,-2.34375,2.816,100,.8125,12,0,-9.43137,0,93.2,4.75,4.78824,9.41177,9.41177,0,0,13.92,185,939.75,0,0,6.27451,1,1,0,1,1,0,.303272
14,523.000,14.7,0,-2.34375,2.816,100,.8125,12,0,-9.43137,0,93.2,4.65,4.78824,9.41177,9.41177,0,0,13.68,185,921.75,0,0,6.27451,1,1,0,1,1,0,.302685
