sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,3036574.000,14.7,0,-1.5625,3.584,100,1,19.5,0,-6.09412,0,129.2,4.59,8.27059,9.41177,9.41177,0,0,11.12,197.6,1315.5,0,0,6.66667,1,0,0,1,1,0,.20935
1,3036574.250,14.7,0,-1.5625,2.816,100,1,17,0,-9.43137,0,129.2,4.68,5.07843,9.41177,9.41177,0,0,13.2,197.6,1560.75,0,0,6.66667,1,0,0,0,1,0,.179913
2,3036574.500,14.7,0,-1.5625,2.56,100,1,12.5,0,-10.4471,0,129.2,4.9,3.91765,9.41177,9.41177,0,0,13.2,197.6,1498.5,0,0,6.66667,1,0,0,0,1,0,.196196
3,3036574.750,14.7,0,-1.5625,2.56,100,1,11.5,0,-10.5922,0,129.2,4.9,3.91765,9.41177,9.41177,0,0,13.44,197.6,1329.25,0,0,6.66667,1,0,0,0,1,0,.221177
4,3036575.000,14.7,0,-1.5625,2.816,100,1,11.5,0,-10.4471,0,129.2,4.86,4.06275,9.41177,9.41177,0,0,13.44,197.6,1171,0,0,6.66667,1,1,0,1,1,0,.249018
5,3036575.250,14.7,0,-1.5625,2.816,100,1,11.5,0,-10.1569,0,129.2,4.93,4.20784,9.41177,9.41177,0,0,13.28,197.6,1009.5,0,0,6.66667,1,1,0,1,1,0,.293016
6,3036575.500,14.7,0,-1.5625,3.072,100,1,11.5,0,-9.86667,0,129.2,4.78,4.49804,9.41177,9.41177,0,0,13.28,197.6,878.75,0,0,6.27451,1,1,0,1,1,0,.326373
7,3036575.750,14.7,0,-1.5625,3.328,100,1,11.5,0,-9.57647,0,129.2,4.59,4.93333,9.41177,9.41177,0,0,13.52,197.6,798,0,0,6.27451,1,1,0,1,1,0,.345113
8,3036576.000,14.7,0,-1.5625,3.584,100,1,11.5,0,-9.28627,0,129.2,4.39,5.22353,9.41177,9.41177,0,0,13.52,197.6,745,0,0,6.27451,1,1,0,1,1,0,.353557
9,3036576.250,14.7,0,-1.5625,3.584,100,1,11.5,0,-8.99608,0,129.2,4.13,5.51373,9.41177,9.41177,0,0,13.44,197.6,725,0,0,5.88235,1,1,0,1,1,0,.341793
10,3036576.500,14.7,0,-1.5625,3.584,100,1,11.5,0,-8.70588,0,129.2,4.96,5.80392,9.41177,9.41177,0,0,13.44,197.6,714.5,0,0,7.05882,1,1,0,1,1,0,.416515
11,3036576.750,14.7,0,-1.5625,3.84,100,1,11.5,0,-8.27059,0,129.2,5.1,6.09412,9.41177,9.41177,0,0,13.76,197.6,778,0,0,7.05882,1,1,0,1,1,0,.393316
12,3036577.000,14.7,0,-1.5625,3.584,100,1,11.5,0,-8.27059,0,129.2,5.07,6.09412,9.41177,9.41177,0,0,13.76,197.6,836.25,0,0,6.66667,1,1,0,1,1,0,.363767
13,3036577.250,14.7,0,-1.5625,3.328,100,1,11.5,0,-8.70588,0,129.2,4.5,5.65882,9.41177,9.41177,0,0,13.68,197.6,874.5,0,0,6.27451,1,1,0,1,1,0,.308748
14,3036577.500,14.7,0,-1.5625,3.328,100,1,11.5,0,-8.99608,0,129.2,4.74,5.36863,9.41177,9.41177,0,0,13.68,197.6,883.5,0,0,6.27451,1,1,0,1,1,0,.321902
15,3036577.750,14.7,0,-1.5625,3.072,100,1,11.5,0,-8.99608,0,129.2,4.62,5.36863,9.41177,9.41177,0,0,13.76,197.6,857.25,0,0,6.27451,1,1,0,1,1,0,.32336
16,3036578.000,14.7,0,-1.5625,3.328,100,1,11.5,0,-9.14118,0,129.2,4.62,5.36863,9.41177,9.41177,0,0,13.76,197.6,836.25,0,0,6.27451,1,1,0,1,1,0,.33148
17,3036578.250,14.7,0,-1.5625,3.328,100,1,11.5,0,-8.99608,0,129.2,4.5,5.36863,9.41177,9.41177,0,0,13.68,197.6,783,0,0,6.27451,1,1,0,1,1,0,.344828
18,3036578.500,14.5852,0,-1.5625,3.328,100,1,11.5,0,-8.70588,0,129.2,4.42,5.65882,9.41177,9.41177,0,0,13.68,197.6,759.75,0,0,6.27451,1,1,0,1,1,1,.349062
19,3036578.750,14.5852,0,-1.5625,3.328,100,1,11.5,0,-8.70588,0,129.2,4.3,5.65882,9.41177,9.41177,0,0,13.68,197.6,753.5,0,0,6.27451,1,1,0,1,1,1,.342402
20,3036579.000,14.5852,0,-1.5625,3.328,100,1,15.5,0,-8.70588,0,127.4,4.22,5.65882,9.41177,9.41177,0,0,13.68,197.6,748.5,0,0,6.27451,1,1,0,1,1,1,.338277
21,3036579.250,14.4703,0,-1.5625,3.328,100,1,15.5,0,-8.70588,0,127.4,4.13,5.65882,9.41177,9.41177,0,0,13.68,197.6,749.75,0,0,6.27451,1,1,0,1,1,1,.33051
22,3036579.500,14.4703,0,-1.5625,3.072,100,1,15,0,-8.70588,0,127.4,4.08,5.65882,9.41177,9.41177,0,0,13.68,197.6,749.25,0,0,6.27451,1,1,0,1,1,1,.326727
23,3036579.750,14.3555,0,-1.5625,3.072,100,1,14,0,-8.85098,0,127.4,3.97,5.65882,9.41177,9.41177,0,0,13.68,197.6,755,0,0,5.88235,1,1,0,1,1,1,.315497
24,3036580.000,14.3555,0,-1.5625,3.072,100,1,14.5,0,-8.85098,0,127.4,4.02,5.51373,9.41177,9.41177,0,0,13.68,197.6,743,0,0,5.88235,1,1,0,1,1,1,.32463
25,3036580.250,14.2406,0,-1.5625,3.072,100,1,14.5,0,-8.85098,0,127.4,3.97,5.51373,9.41177,9.41177,0,0,13.68,197.6,732.75,0,0,5.88235,1,1,0,1,1,1,.325077
26,3036580.500,14.1258,0,-1.5625,3.072,100,1,15.5,0,-8.85098,0,127.4,3.99,5.51373,9.41177,9.41177,0,0,13.68,197.6,724.25,0,0,5.88235,1,1,0,1,1,1,.330549
27,3036580.750,14.0109,0,-1.5625,3.072,100,1,15,0,-8.85098,0,127.4,3.99,5.65882,9.41177,9.41177,0,0,13.68,197.6,715,0,0,5.88235,1,1,0,1,1,1,.334825
28,3036581.000,13.8961,0,-1.5625,3.072,100,1,15.5,0,-8.70588,0,127.4,3.99,5.65882,9.41177,9.41177,0,0,13.68,197.6,710.75,0,0,5.88235,1,1,0,1,1,1,.336827
29,3036581.250,13.7813,0,-1.5625,3.072,100,1,15,0,-8.70588,0,127.4,4.02,5.65882,9.41177,9.41177,0,0,13.68,197.6,708.25,0,0,5.88235,1,1,0,1,1,1,.340558
30,3036581.500,13.5516,0,-1.5625,3.072,100,1,14,0,-8.70588,0,127.4,3.99,5.65882,9.41177,9.41177,0,0,13.68,197.6,711.75,0,0,6.27451,1,1,0,1,1,1,.336354
31,3036581.750,13.4367,0,-1.5625,3.072,100,1,13,0,-8.70588,0,127.4,4.02,5.65882,9.41177,9.41177,0,0,13.6,197.6,708.25,0,0,6.27451,1,1,0,1,1,1,.340558
32,3036582.000,13.3219,0,-1.5625,3.072,100,1,12.5,0,-8.56078,0,127.4,4.13,5.80392,9.41177,9.41177,0,0,13.6,197.6,720.25,0,0,6.27451,1,1,0,1,1,1,.344047
33,3036582.250,13.207,0,-1.5625,3.072,100,1,12,0,-8.56078,0,127.4,4.22,5.80392,9.41177,9.41177,0,0,13.6,197.6,722.5,0,0,6.27451,1,1,0,1,1,1,.35045
34,3036582.500,13.207,0,-1.5625,3.072,100,1,11,0,-8.56078,0,127.4,4.19,5.80392,9.41177,9.41177,0,0,13.6,197.6,734.75,0,0,6.27451,1,1,0,1,1,1,.342157
35,3036582.750,13.207,0,-1.5625,3.072,100,1,9.5,0,-8.56078,0,127.4,4.25,5.80392,9.41177,9.41177,0,0,13.76,197.6,745,0,0,6.27451,1,1,0,1,1,1,.342282
36,3036583.000,13.0922,0,-1.5625,3.072,100,1,9.5,0,-8.56078,0,127.4,4.25,5.80392,9.41177,9.41177,0,0,13.76,197.6,748.25,0,0,6.27451,1,1,0,1,1,1,.340795
37,3036583.250,12.8625,0,-1.5625,3.072,100,1,11,0,-8.56078,0,127.4,4.3,5.80392,9.41177,9.41177,0,0,13.68,197.6,744,0,0,6.27451,1,1,0,1,1,1,.346774
38,3036583.500,12.7477,0,-1.5625,3.072,100,1,10.5,0,-8.56078,0,127.4,4.36,5.80392,9.41177,9.41177,0,0,13.68,197.6,758.75,0,0,6.27451,1,1,0,1,1,1,.344778
39,3036583.750,12.518,0,-1.5625,3.072,100,1,10.5,0,-8.70588,0,127.4,4.3,5.65882,9.41177,9.41177,0,0,13.76,197.6,759.25,0,0,6.27451,1,1,0,1,1,1,.339809
40,3036584.000,12.2883,0,-1.5625,3.072,100,1,10,0,-8.70588,0,127.4,4.3,5.65882,9.41177,9.41177,0,0,13.76,197.6,763.75,0,0,6.27451,1,1,0,1,1,1,.337807
41,3036584.250,12.1734,0,-1.5625,3.072,100,1,10.5,0,-8.70588,0,127.4,4.33,5.80392,9.41177,9.41177,0,0,13.68,197.6,758.25,0,0,6.27451,1,1,0,1,1,1,.342631
42,3036584.500,12.0586,0,-1.5625,3.072,100,1,9,0,-8.56078,0,127.4,4.16,5.80392,9.41177,9.41177,0,0,13.68,197.6,769,0,0,6.27451,1,1,0,1,1,1,.324577
43,3036584.750,12.0586,0,-1.5625,3.072,100,1,9.5,0,-8.56078,0,127.4,4.19,5.80392,9.41177,9.41177,0,0,13.52,197.6,786.5,0,0,6.27451,1,1,0,1,1,1,.319644
44,3036585.000,12.1734,0,-1.5625,2.816,100,1,8,0,-8.56078,0,127.4,4.08,5.80392,43.1373,40,0,0,13.52,197.6,797.25,0,18.4314,8.62745,1,1,0,1,1,0,.307055
45,3036585.250,12.4031,0,-1.5625,4.096,100,1,4,0,-6.52941,0,127.4,4.69,7.83529,9.41177,9.41177,0,0,13.76,197.6,878.75,0,0,5.88235,1,1,0,1,1,0,.320228
46,3036585.500,12.6328,0,-1.5625,3.072,100,1,18,0,-7.83529,0,127.4,5.5,6.52941,43.5294,43.5294,0,0,13.76,197.6,1057,0,5.88235,7.84314,1,1,0,1,1,0,.312204
47,3036585.750,12.518,0,-1.5625,2.816,100,1,23.5,0,-8.41569,0,127.4,5.42,6.09412,43.5294,43.5294,1,0,13.68,197.6,1029.75,0,5.88235,7.84314,1,1,0,1,1,0,.315805
48,3036586.000,13.0922,0,-1.5625,3.328,100,1,30,0,-7.98039,0,127.4,7.26,6.52941,43.5294,43.5294,1,0,13.68,197.6,951.25,0,3.13725,8.62745,1,1,0,1,1,0,.457924
49,3036586.250,13.5516,0,-1.5625,3.328,100,1,29.5,0,-7.83529,0,127.4,5.86,6.52941,43.5294,43.5294,2,0,13.6,197.6,939.75,0,7.84314,8.62745,1,1,0,1,1,0,.374142
50,3036586.500,13.6664,0,-1.5625,3.328,100,1,30,0,-7.6902,0,125.6,5.86,6.67451,43.5294,43.5294,3,0,13.6,197.6,950,0,8.23529,9.41177,1,1,0,1,1,0,.370105
51,3036586.750,13.6664,0,-1.5625,3.328,100,1,31.5,0,-7.6902,0,125.6,5.92,6.67451,43.5294,43.5294,4,0,13.44,195.8,1010.5,0,4.31373,7.84314,1,1,0,1,1,0,.351509
52,3036587.000,13.7813,0,-1.5625,3.072,100,1,31,0,-7.83529,0,125.6,7.38,6.52941,44.3137,44.3137,6,0,13.44,195.8,1039.5,0,4.70588,9.01961,1,1,0,1,1,0,.425974
53,3036587.250,13.8961,0,-1.5625,3.328,100,1,32,0,-7.83529,0,125.6,6.93,6.52941,44.7059,44.7059,8,0,13.76,195.8,1082,0,6.27451,8.62745,1,1,0,1,1,0,.384288
54,3036587.500,14.0109,0,-1.5625,3.072,100,1,32,0,-7.98039,0,125.6,7.11,6.38431,45.4902,45.4902,9,0,13.76,195.8,1093,0,6.66667,9.01961,1,1,0,1,1,0,.390302
55,3036587.750,14.0109,0,-1.5625,3.328,100,1,32.5,0,-7.98039,0,125.6,7.53,6.52941,46.2745,46.2745,11,0,13.76,195.8,1107.75,0,6.66667,9.01961,1,1,0,1,1,0,.407854
56,3036588.000,14.1258,0,-1.5625,3.328,100,1,32.5,0,-7.98039,0,125.6,6.78,6.38431,46.6667,46.6667,12,0,13.76,195.8,1108.25,1.24274,3.52941,7.84314,1,1,0,1,1,0,.367065
57,3036588.250,14.0109,0,-1.5625,3.072,100,1,30.5,0,-8.27059,0,125.6,6.85,6.09412,9.41177,9.41177,16,0,13.76,194,1101.75,1.24274,0,6.66667,1,1,0,1,1,0,.373043
58,3036588.500,13.8961,0,-1.5625,2.56,100,1,15.5,0,-9.28627,0,125.6,3.91,5.07843,47.451,43.9216,0,0,13.76,194,1113.5,1.24274,.784314,6.27451,1,1,0,1,1,0,.210687
59,3036588.750,13.3219,0,-1.5625,2.56,100,1,25,0,-9.14118,0,125.6,5.7,5.36863,47.451,47.451,8,0,13.68,194,1027,1.24274,1.96078,7.84314,1,1,0,1,1,0,.333009
60,3036589.000,13.4367,0,-1.5625,2.816,100,1,27,0,-8.85098,0,125.6,5.86,5.65882,40.3922,47.451,20,0,13.68,194,1009.75,1.24274,3.13725,7.84314,1,1,0,1,1,0,.348205
61,3036589.250,14.2406,0,-1.5625,2.816,100,1,28,0,-8.56078,0,125.6,6.4,5.80392,36.8627,47.451,27,0,13.68,194,987.25,1.86411,7.45098,8.62745,1,1,0,1,1,0,.388959
62,3036589.500,14.4703,0,-1.5625,3.584,100,1,31.5,0,-7.6902,0,125.6,7.19,6.67451,40.7843,47.451,26,0,13.68,194,982,1.86411,3.52941,7.84314,1,1,0,1,1,0,.439308
63,3036589.750,14.0109,0,-1.5625,3.072,100,1,30,0,-7.98039,0,125.6,5.87,6.23922,38.8235,47.8431,25,0,13.68,194,987.5,1.86411,3.13725,7.84314,1,1,0,1,1,0,.356658
64,3036590.000,13.7813,0,-1.5625,3.072,100,1,28.5,0,-8.12549,0,125.6,5.55,6.09412,9.41177,9.41177,25,0,13.68,194,961,2.48548,0,6.27451,1,1,0,1,1,0,.346514
65,3036590.250,13.7813,0,-1.5625,2.56,100,1,21.5,0,-9.14118,0,125.6,3.91,5.22353,9.41177,9.41177,3,0,13.76,194,994,2.48548,0,5.88235,1,1,0,1,1,0,.236016
66,3036590.500,13.4367,0,-1.5625,2.304,100,1,16,0,-9.57647,0,125.6,3.99,4.93333,9.41177,9.41177,0,0,13.76,192.2,969.5,2.48548,0,5.88235,1,1,0,1,1,1,.246931
67,3036590.750,13.207,0,-1.5625,2.304,100,1,16,0,-9.57647,0,125.6,3.97,4.78824,9.41177,9.41177,0,0,13.76,192.2,895.5,1.86411,0,5.88235,1,1,0,1,1,1,.265997
68,3036591.000,13.5516,0,-1.5625,2.56,100,1,16,0,-9.43137,0,125.6,4.16,4.93333,9.41177,9.41177,0,0,13.76,192.2,798,1.86411,0,5.88235,1,1,0,1,1,1,.312782
69,3036591.250,13.7813,0,-1.5625,2.56,100,1,16,0,-9.14118,0,125.6,4.13,5.22353,9.41177,9.41177,0,0,13.68,192.2,721,1.24274,0,5.88235,1,1,0,1,1,1,.343689
70,3036591.500,14.0109,0,-1.5625,2.816,100,1,16,0,-8.85098,0,125.6,3.99,5.51373,9.41177,9.41177,0,0,13.68,192.2,671.5,0,0,5.88235,1,1,0,1,1,1,.356515
71,3036591.750,13.8961,0,-1.5625,3.072,100,1,16,0,-8.56078,0,125.6,3.97,5.80392,9.41177,9.41177,0,1,13.44,192.2,700.25,0,0,5.88235,1,1,0,1,1,1,.340164
72,3036592.000,13.7813,0,-1.5625,3.072,100,1,16,0,-8.41569,0,125.6,4.11,5.94902,9.41177,9.41177,0,0,13.44,192.2,634,0,0,6.27451,1,1,0,1,1,1,.388959
73,3036592.250,13.4367,-2.34375,-1.5625,3.072,100,1,16,0,-7.98039,0,125.6,4.39,6.38431,9.41177,9.41177,0,0,13.84,192.2,654.25,0,0,6.27451,1,1,0,1,1,1,.402598
74,3036592.500,13.207,-5.46875,-1.5625,3.072,100,1,11,0,-7.83529,0,125.6,5.08,6.52941,9.41177,9.41177,0,0,13.84,192.2,743,0,0,6.66667,1,1,0,1,1,0,.410229
75,3036592.750,13.207,-7.8125,-1.5625,4.096,100,1,15.5,0,-6.09412,0,125.6,11.64,9.28627,46.2745,48.6275,0,0,13.76,190.4,849,0,4.70588,9.80392,1,1,0,1,1,0,.822615
76,3036593.000,13.4367,-10.9375,-1.5625,3.328,100,1,26.5,0,-6.81961,0,125.6,6.6,7.5451,9.41177,9.41177,1,0,13.76,190.4,1266.75,0,2.35294,6.27451,1,1,0,1,1,0,.312611
77,3036593.250,13.6664,-12.5,-1.5625,2.56,100,1,29,0,-8.41569,0,125.6,6.89,5.94902,46.6667,48.6275,22,1,13.68,190.4,1397.5,0,6.66667,8.62745,1,1,0,1,1,0,.295814
78,3036593.500,14.5852,-10.9375,-1.5625,2.56,100,1,31,0,-8.12549,0,125.6,8.31,6.23922,35.6863,48.6275,44,0,13.68,190.4,1138.25,0,9.01961,10.1961,1,1,0,1,1,0,.438041
79,3036593.750,15.3891,-7.8125,-1.5625,3.584,100,1,34.5,0,-6.38431,0,125.6,9.15,7.98039,35.6863,48.6275,44,1,13.76,190.4,966.5,1.24274,8.62745,9.80392,1,1,0,1,1,0,.568029
80,3036594.000,14.9297,-7.8125,-1.5625,3.584,100,1,33.5,0,-5.80392,0,125.6,8.39,8.85098,35.6863,48.6275,42,0,13.76,190.4,911,1.86411,5.4902,8.62745,1,1,0,1,1,0,.552579
81,3036594.250,14.3555,-9.375,-1.5625,3.328,100,1,34,0,-6.38431,0,125.6,6.13,7.98039,36.4706,49.0196,39,0,13.76,190.4,983,1.86411,0,7.05882,1,1,0,1,1,0,.374161
82,3036594.500,14.1258,-10.9375,-1.5625,2.56,100,1,23.5,0,-8.12549,0,125.6,3.78,6.09412,9.41177,9.41177,18,0,13.76,190.4,978.5,2.48548,0,5.88235,1,1,0,1,1,0,.231783
83,3036594.750,14.2406,-11.7188,-1.5625,2.304,100,1,21.5,0,-9.28627,0,125.6,3.99,5.07843,9.41177,9.41177,1,0,13.68,190.4,948.25,2.48548,0,5.88235,1,1,0,1,1,0,.252465
84,3036595.000,14.4703,-11.7188,-1.5625,2.048,100,1,20.5,0,-9.43137,0,125.6,4.05,4.93333,9.41177,9.41177,0,0,13.68,190.4,898,2.48548,0,6.27451,1,1,0,1,1,1,.270601
85,3036595.250,14.8148,0,-1.5625,2.56,100,1,16,0,-9.28627,0,125.6,4.16,5.07843,9.41177,9.41177,0,0,13.76,190.4,802.5,2.48548,0,5.88235,1,1,0,1,1,1,.311028
86,3036595.500,15.0445,0,-1.5625,2.56,100,1,16,0,-9.14118,0,125.6,4.13,5.36863,9.41177,9.41177,0,0,13.76,190.4,754.75,1.86411,0,5.88235,1,1,0,1,1,1,.328321
87,3036595.750,14.9297,0,-1.5625,2.816,100,1,16,0,-8.85098,0,125.6,4.08,5.51373,9.41177,9.41177,0,0,13.68,188.6,767.25,1.86411,0,5.88235,1,1,0,1,1,1,.319062
